variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,5,1024,512,289,1069.792315,1069.244956,1068.875469,1072.039882,2588078692,2586754503,2585860626,2593516084,4936.368355,0.490084,0.424903,1453268381.400000,17976546.000000,0.012370,152268459.200000,3167.000000,831657028.400000,177.000000,0.000000,152301894.000000,103.000000,0.000001,17397.200000,9052.600000,0.520348,17362.800000,10474.800000,0.603290,18.200000,0.000000,102.800000,232891576.800000,223695.200000,0.000961,3240809975.600000,1.252207
gen_10x10_1,generated 10*10,6.700000,5,10,10,289,0.261727,0.261563,0.261069,0.262535,633186,632790,631593,635141,6331.860000,0.382077,0.331261,574920.000000,1717.800000,0.002988,144.000000,33.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.200000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,8.800000,0.122222,378.000000,0.000597
gen_13x13_1,generated 13*13,6.700000,5,13,13,289,0.388238,0.388249,0.387847,0.388689,939245,939272,938300,940338,5557.662722,0.435300,0.377405,799790.400000,2667.400000,0.003335,98308.600000,43.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,12.200000,0.169444,378.000000,0.000402
gen_16x16_1,generated 16*16,6.700000,5,16,16,289,0.546307,0.546216,0.545864,0.546914,1321658,1321437,1320585,1323126,5162.726562,0.468601,0.406277,1538808.000000,3818.400000,0.002481,144.000000,47.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.800000,0.200000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,9.800000,0.136111,378.000000,0.000286
gen_19x19_1,generated 19*19,6.700000,5,19,19,289,0.750381,0.748459,0.746257,0.760303,1815371,1810721,1805393,1839376,5028.728532,0.481089,0.417104,1165631.600000,5278.600000,0.004529,333665.000000,38.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.800000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.800000,10.800000,0.140625,399.600000,0.000220
gen_22x22_1,generated 22*22,6.700000,5,22,22,289,1.094084,1.091251,1.087907,1.105774,2646877,2640023,2631935,2675159,5468.754132,0.442379,0.383543,1912671.800000,6960.600000,0.003639,301179.200000,37.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.200000,0.800000,0.023392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.400000,9.200000,0.123656,388.800000,0.000147
gen_25x25_1,generated 25*25,6.700000,5,25,25,289,1.453048,1.452994,1.446752,1.461769,3515306,3515174,3500075,3536405,5624.489600,0.430130,0.372923,862296.400000,6677.200000,0.007744,786502.800000,72.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.200000,2.800000,0.132075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.600000,12.200000,0.149510,421.200000,0.000120
gen_28x28_1,generated 28*28,6.700000,5,28,28,289,1.788670,1.781116,1.771453,1.816474,4327267,4308994,4285616,4394533,5519.473214,0.438315,0.380019,691743.200000,6335.200000,0.009158,1026967.200000,120.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.400000,3.600000,0.176471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.400000,13.200000,0.152778,442.800000,0.000102
gen_31x31_1,generated 31*31,6.700000,5,31,31,289,2.171033,2.169898,2.152687,2.198848,5252292,5249548,5207911,5319586,5465.444329,0.442647,0.383775,1436386.800000,12939.400000,0.009008,1063108.600000,61.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.800000,18.400000,0.450980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79.200000,10.800000,0.136364,410.400000,0.000078
gen_34x34_1,generated 34*34,6.700000,5,34,34,289,2.618860,2.620216,2.544011,2.744610,6335759,6339041,6154679,6639984,5480.760381,0.441413,0.382706,468732.800000,6152.000000,0.013125,1519774.200000,172.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.600000,32.000000,0.434783,3.200000,0.200000,0.062500,0.000000,0.000000,0.000000,88.800000,13.000000,0.146396,453.600000,0.000072
gen_37x37_1,generated 37*37,6.700000,5,37,37,289,3.028951,3.031420,3.016536,3.034762,7327853,7333826,7297819,7341912,5352.704894,0.451972,0.391859,1859154.200000,9388.800000,0.005050,1463376.000000,113.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.200000,12.400000,0.162730,4.400000,0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,9.400000,0.111905,432.000000,0.000059
