variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_256x256_1,generated 256*256,200,"-16.4644;-0.389752;46.1942;12.4446;1.35938;27.5582;-49.9384;-24.4358;-29.0128;10.5989;-12.04;34.7778;34.0465;-17.8127;-6.97444;-27.896;-49.5129;-10.7966;-2.57838;-16.5794;-43.5446;-35.1743;-27.252;-41.6135;11.4093;-36.7718;-34.9748;46.1461;48.8706;3.77751;8.89453;-25.7823;34.1967;3.02012;-35.9777;21.0011;-33.0068;-39.9623;-32.2025;-16.6859;-17.9067;-24.021;34.3125;10.7279;9.91874;-34.5485;21.6718;-9.90838;-23.3532;5.98555;6.64359;35.9919;26.9708;11.738;-16.3603;41.0794;20.6763;-20.1552;49.6182;38.6769;-32.3756;-33.1124;21.6121;-45.9678;33.26;44.6092;2.34754;11.9967;7.18868;13.7006;-15.3004;-31.9334;18.4858;5.5493;33.3209;-28.777;40.3812;-31.4758;-15.2713;49.0443;-28.6509;20.4628;-12.5405;-46.8836;-48.8548;9.51351;49.0043;-36.2062;-6.7814;-47.614;-48.9214;31.0409;5.09256;4.37416;41.0487;6.20231;-48.8363;41.8159;-49.427;-22.9199;39.1443;-46.5431;-3.42947;-16.4573;-12.0947;19.1788;9.23942;-31.6088;17.8716;-0.0101579;-17.3264;-23.5508;-22.2898;-0.699397;21.0658;45.9038;-5.518;38.1444;46.5745;16.7252;-28.1474;34.3506;-28.067;32.5146;38.8913;-36.3618;10.8784;-20.1959;42.8131;19.0754;0.265443;-16.4295;-23.0866;-46.0176;-11.601;39.2006;-35.5709;22.2875;-42.3797;7.90349;17.8426;-34.1505;15.9476;31.1526;-11.9763;-4.16902;-9.23866;17.0803;-39.0164;48.0012;-27.7193;-34.4125;-35.0769;30.9995;-49.2702;9.25501;-48.1503;47.13;-48.1761;3.13618;4.56258;48.3391;-13.398;34.4548;21.6858;23.0807;-1.82864;7.39766;-11.7886;26.0822;39.6781;-41.7052;48.764;16.5522;37.9349;15.2017;-38.561;-38.2092;39.3186;-11.9129;-7.79534;22.9095;3.77817;45.0896;-33.7453;11.3419;-31.706;16.1227;3.45628;-41.1782;-8.86238;-23.1047;-38.5568;-10.0546;6.46247;0.749112;-27.8131;-22.7712;-35.4209;-35.9786",2,256,256,289,2803.277335,2803.958301,2802.596370,2803.958301,6781923514,6783570963,6780276065,6783570963,517.419702,4.675670,4.053806,2699310669.500000,370211495.000000,0.137150,405910918.500000,30620.000000,1576184960.500000,152644.000000,0.000097,400909062.000000,64608.000000,0.000161,1944715.500000,1272219.000000,0.654193,88539.000000,88793.500000,1.002874,5637.000000,0.000000,10935.000000,115400316.000000,485217.500000,0.004205,5637769642.500000,0.831294
gen_384x384_1,generated 384*384,200,"-16.4644;-0.389752;46.1942;12.4446;1.35938;27.5582;-49.9384;-24.4358;-29.0128;10.5989;-12.04;34.7778;34.0465;-17.8127;-6.97444;-27.896;-49.5129;-10.7966;-2.57838;-16.5794;-43.5446;-35.1743;-27.252;-41.6135;11.4093;-36.7718;-34.9748;46.1461;48.8706;3.77751;8.89453;-25.7823;34.1967;3.02012;-35.9777;21.0011;-33.0068;-39.9623;-32.2025;-16.6859;-17.9067;-24.021;34.3125;10.7279;9.91874;-34.5485;21.6718;-9.90838;-23.3532;5.98555;6.64359;35.9919;26.9708;11.738;-16.3603;41.0794;20.6763;-20.1552;49.6182;38.6769;-32.3756;-33.1124;21.6121;-45.9678;33.26;44.6092;2.34754;11.9967;7.18868;13.7006;-15.3004;-31.9334;18.4858;5.5493;33.3209;-28.777;40.3812;-31.4758;-15.2713;49.0443;-28.6509;20.4628;-12.5405;-46.8836;-48.8548;9.51351;49.0043;-36.2062;-6.7814;-47.614;-48.9214;31.0409;5.09256;4.37416;41.0487;6.20231;-48.8363;41.8159;-49.427;-22.9199;39.1443;-46.5431;-3.42947;-16.4573;-12.0947;19.1788;9.23942;-31.6088;17.8716;-0.0101579;-17.3264;-23.5508;-22.2898;-0.699397;21.0658;45.9038;-5.518;38.1444;46.5745;16.7252;-28.1474;34.3506;-28.067;32.5146;38.8913;-36.3618;10.8784;-20.1959;42.8131;19.0754;0.265443;-16.4295;-23.0866;-46.0176;-11.601;39.2006;-35.5709;22.2875;-42.3797;7.90349;17.8426;-34.1505;15.9476;31.1526;-11.9763;-4.16902;-9.23866;17.0803;-39.0164;48.0012;-27.7193;-34.4125;-35.0769;30.9995;-49.2702;9.25501;-48.1503;47.13;-48.1761;3.13618;4.56258;48.3391;-13.398;34.4548;21.6858;23.0807;-1.82864;7.39766;-11.7886;26.0822;39.6781;-41.7052;48.764;16.5522;37.9349;15.2017;-38.561;-38.2092;39.3186;-11.9129;-7.79534;22.9095;3.77817;45.0896;-33.7453;11.3419;-31.706;16.1227;3.45628;-41.1782;-8.86238;-23.1047;-38.5568;-10.0546;6.46247;0.749112;-27.8131;-22.7712;-35.4209;-35.9786",2,384,384,289,6385.470607,6390.122648,6380.818567,6390.122648,15448580884,15459835720,15437326048,15459835720,523.836971,4.618485,4.004226,6100385440.000000,876734898.500000,0.143718,869128066.000000,64766.500000,3468648091.500000,450467.000000,0.000130,875073223.000000,41588.000000,0.000048,3435895.000000,2971728.000000,0.864907,37164.000000,49277.500000,1.325947,1940.500000,0.000000,23094.000000,260519135.000000,2001468.500000,0.007683,12582035334.500000,0.814446
gen_512x512_1,generated 512*512,200,"-16.4644;-0.389752;46.1942;12.4446;1.35938;27.5582;-49.9384;-24.4358;-29.0128;10.5989;-12.04;34.7778;34.0465;-17.8127;-6.97444;-27.896;-49.5129;-10.7966;-2.57838;-16.5794;-43.5446;-35.1743;-27.252;-41.6135;11.4093;-36.7718;-34.9748;46.1461;48.8706;3.77751;8.89453;-25.7823;34.1967;3.02012;-35.9777;21.0011;-33.0068;-39.9623;-32.2025;-16.6859;-17.9067;-24.021;34.3125;10.7279;9.91874;-34.5485;21.6718;-9.90838;-23.3532;5.98555;6.64359;35.9919;26.9708;11.738;-16.3603;41.0794;20.6763;-20.1552;49.6182;38.6769;-32.3756;-33.1124;21.6121;-45.9678;33.26;44.6092;2.34754;11.9967;7.18868;13.7006;-15.3004;-31.9334;18.4858;5.5493;33.3209;-28.777;40.3812;-31.4758;-15.2713;49.0443;-28.6509;20.4628;-12.5405;-46.8836;-48.8548;9.51351;49.0043;-36.2062;-6.7814;-47.614;-48.9214;31.0409;5.09256;4.37416;41.0487;6.20231;-48.8363;41.8159;-49.427;-22.9199;39.1443;-46.5431;-3.42947;-16.4573;-12.0947;19.1788;9.23942;-31.6088;17.8716;-0.0101579;-17.3264;-23.5508;-22.2898;-0.699397;21.0658;45.9038;-5.518;38.1444;46.5745;16.7252;-28.1474;34.3506;-28.067;32.5146;38.8913;-36.3618;10.8784;-20.1959;42.8131;19.0754;0.265443;-16.4295;-23.0866;-46.0176;-11.601;39.2006;-35.5709;22.2875;-42.3797;7.90349;17.8426;-34.1505;15.9476;31.1526;-11.9763;-4.16902;-9.23866;17.0803;-39.0164;48.0012;-27.7193;-34.4125;-35.0769;30.9995;-49.2702;9.25501;-48.1503;47.13;-48.1761;3.13618;4.56258;48.3391;-13.398;34.4548;21.6858;23.0807;-1.82864;7.39766;-11.7886;26.0822;39.6781;-41.7052;48.764;16.5522;37.9349;15.2017;-38.561;-38.2092;39.3186;-11.9129;-7.79534;22.9095;3.77817;45.0896;-33.7453;11.3419;-31.706;16.1227;3.45628;-41.1782;-8.86238;-23.1047;-38.5568;-10.0546;6.46247;0.749112;-27.8131;-22.7712;-35.4209;-35.9786",2,512,512,289,11773.000747,11774.188910,11771.812584,11774.188910,28482253519,28485128025,28479379013,28485128025,543.255873,4.453308,3.861018,10708002939.000000,1573520574.500000,0.146948,1533663615.000000,92588.000000,6121352249.500000,821888.000000,0.000134,1535044371.000000,82201.000000,0.000054,5209653.500000,4874564.000000,0.935679,598691.000000,189075.000000,0.315814,5535.500000,0.000000,39810.000000,435495653.000000,2320149.000000,0.005328,22033002314.500000,0.773569
gen_768x768_1,generated 768*768,200,"-16.4644;-0.389752;46.1942;12.4446;1.35938;27.5582;-49.9384;-24.4358;-29.0128;10.5989;-12.04;34.7778;34.0465;-17.8127;-6.97444;-27.896;-49.5129;-10.7966;-2.57838;-16.5794;-43.5446;-35.1743;-27.252;-41.6135;11.4093;-36.7718;-34.9748;46.1461;48.8706;3.77751;8.89453;-25.7823;34.1967;3.02012;-35.9777;21.0011;-33.0068;-39.9623;-32.2025;-16.6859;-17.9067;-24.021;34.3125;10.7279;9.91874;-34.5485;21.6718;-9.90838;-23.3532;5.98555;6.64359;35.9919;26.9708;11.738;-16.3603;41.0794;20.6763;-20.1552;49.6182;38.6769;-32.3756;-33.1124;21.6121;-45.9678;33.26;44.6092;2.34754;11.9967;7.18868;13.7006;-15.3004;-31.9334;18.4858;5.5493;33.3209;-28.777;40.3812;-31.4758;-15.2713;49.0443;-28.6509;20.4628;-12.5405;-46.8836;-48.8548;9.51351;49.0043;-36.2062;-6.7814;-47.614;-48.9214;31.0409;5.09256;4.37416;41.0487;6.20231;-48.8363;41.8159;-49.427;-22.9199;39.1443;-46.5431;-3.42947;-16.4573;-12.0947;19.1788;9.23942;-31.6088;17.8716;-0.0101579;-17.3264;-23.5508;-22.2898;-0.699397;21.0658;45.9038;-5.518;38.1444;46.5745;16.7252;-28.1474;34.3506;-28.067;32.5146;38.8913;-36.3618;10.8784;-20.1959;42.8131;19.0754;0.265443;-16.4295;-23.0866;-46.0176;-11.601;39.2006;-35.5709;22.2875;-42.3797;7.90349;17.8426;-34.1505;15.9476;31.1526;-11.9763;-4.16902;-9.23866;17.0803;-39.0164;48.0012;-27.7193;-34.4125;-35.0769;30.9995;-49.2702;9.25501;-48.1503;47.13;-48.1761;3.13618;4.56258;48.3391;-13.398;34.4548;21.6858;23.0807;-1.82864;7.39766;-11.7886;26.0822;39.6781;-41.7052;48.764;16.5522;37.9349;15.2017;-38.561;-38.2092;39.3186;-11.9129;-7.79534;22.9095;3.77817;45.0896;-33.7453;11.3419;-31.706;16.1227;3.45628;-41.1782;-8.86238;-23.1047;-38.5568;-10.0546;6.46247;0.749112;-27.8131;-22.7712;-35.4209;-35.9786",2,768,768,289,24715.777675,24754.819574,24676.735776,24754.819574,59794295362,59888748503,59699842221,59888748503,506.882522,4.772854,4.138064,23943662154.500000,3695660062.000000,0.154348,3399605718.500000,175051.000000,13645144982.000000,1975652.500000,0.000145,3393028161.500000,229686.500000,0.000068,8463543.500000,8140330.500000,0.961811,2020508.500000,352476.500000,0.174449,9417.500000,0.000000,87254.500000,937146748.500000,6220299.000000,0.006637,49086774133.000000,0.820927
gen_1024x1024_1,generated 1024*1024,200,"-16.4644;-0.389752;46.1942;12.4446;1.35938;27.5582;-49.9384;-24.4358;-29.0128;10.5989;-12.04;34.7778;34.0465;-17.8127;-6.97444;-27.896;-49.5129;-10.7966;-2.57838;-16.5794;-43.5446;-35.1743;-27.252;-41.6135;11.4093;-36.7718;-34.9748;46.1461;48.8706;3.77751;8.89453;-25.7823;34.1967;3.02012;-35.9777;21.0011;-33.0068;-39.9623;-32.2025;-16.6859;-17.9067;-24.021;34.3125;10.7279;9.91874;-34.5485;21.6718;-9.90838;-23.3532;5.98555;6.64359;35.9919;26.9708;11.738;-16.3603;41.0794;20.6763;-20.1552;49.6182;38.6769;-32.3756;-33.1124;21.6121;-45.9678;33.26;44.6092;2.34754;11.9967;7.18868;13.7006;-15.3004;-31.9334;18.4858;5.5493;33.3209;-28.777;40.3812;-31.4758;-15.2713;49.0443;-28.6509;20.4628;-12.5405;-46.8836;-48.8548;9.51351;49.0043;-36.2062;-6.7814;-47.614;-48.9214;31.0409;5.09256;4.37416;41.0487;6.20231;-48.8363;41.8159;-49.427;-22.9199;39.1443;-46.5431;-3.42947;-16.4573;-12.0947;19.1788;9.23942;-31.6088;17.8716;-0.0101579;-17.3264;-23.5508;-22.2898;-0.699397;21.0658;45.9038;-5.518;38.1444;46.5745;16.7252;-28.1474;34.3506;-28.067;32.5146;38.8913;-36.3618;10.8784;-20.1959;42.8131;19.0754;0.265443;-16.4295;-23.0866;-46.0176;-11.601;39.2006;-35.5709;22.2875;-42.3797;7.90349;17.8426;-34.1505;15.9476;31.1526;-11.9763;-4.16902;-9.23866;17.0803;-39.0164;48.0012;-27.7193;-34.4125;-35.0769;30.9995;-49.2702;9.25501;-48.1503;47.13;-48.1761;3.13618;4.56258;48.3391;-13.398;34.4548;21.6858;23.0807;-1.82864;7.39766;-11.7886;26.0822;39.6781;-41.7052;48.764;16.5522;37.9349;15.2017;-38.561;-38.2092;39.3186;-11.9129;-7.79534;22.9095;3.77817;45.0896;-33.7453;11.3419;-31.706;16.1227;3.45628;-41.1782;-8.86238;-23.1047;-38.5568;-10.0546;6.46247;0.749112;-27.8131;-22.7712;-35.4209;-35.9786",2,1024,1024,289,49710.722578,49766.299774,49655.145383,49766.299774,120263784387,120398240768,120129328006,120398240768,573.462412,4.218712,3.657623,42384853229.000000,6692507157.000000,0.157899,5994718987.000000,310579.500000,24210841639.500000,2695847.500000,0.000111,5985850239.000000,131782.000000,0.000022,11632469.500000,11432131.000000,0.982778,5014594.500000,2078887.000000,0.414567,4657.500000,0.000000,52429.000000,1627679406.500000,9511994.500000,0.005844,86631280431.500000,0.720344
gen_1536x1536_1,generated 1536*1536,200,"-16.4644;-0.389752;46.1942;12.4446;1.35938;27.5582;-49.9384;-24.4358;-29.0128;10.5989;-12.04;34.7778;34.0465;-17.8127;-6.97444;-27.896;-49.5129;-10.7966;-2.57838;-16.5794;-43.5446;-35.1743;-27.252;-41.6135;11.4093;-36.7718;-34.9748;46.1461;48.8706;3.77751;8.89453;-25.7823;34.1967;3.02012;-35.9777;21.0011;-33.0068;-39.9623;-32.2025;-16.6859;-17.9067;-24.021;34.3125;10.7279;9.91874;-34.5485;21.6718;-9.90838;-23.3532;5.98555;6.64359;35.9919;26.9708;11.738;-16.3603;41.0794;20.6763;-20.1552;49.6182;38.6769;-32.3756;-33.1124;21.6121;-45.9678;33.26;44.6092;2.34754;11.9967;7.18868;13.7006;-15.3004;-31.9334;18.4858;5.5493;33.3209;-28.777;40.3812;-31.4758;-15.2713;49.0443;-28.6509;20.4628;-12.5405;-46.8836;-48.8548;9.51351;49.0043;-36.2062;-6.7814;-47.614;-48.9214;31.0409;5.09256;4.37416;41.0487;6.20231;-48.8363;41.8159;-49.427;-22.9199;39.1443;-46.5431;-3.42947;-16.4573;-12.0947;19.1788;9.23942;-31.6088;17.8716;-0.0101579;-17.3264;-23.5508;-22.2898;-0.699397;21.0658;45.9038;-5.518;38.1444;46.5745;16.7252;-28.1474;34.3506;-28.067;32.5146;38.8913;-36.3618;10.8784;-20.1959;42.8131;19.0754;0.265443;-16.4295;-23.0866;-46.0176;-11.601;39.2006;-35.5709;22.2875;-42.3797;7.90349;17.8426;-34.1505;15.9476;31.1526;-11.9763;-4.16902;-9.23866;17.0803;-39.0164;48.0012;-27.7193;-34.4125;-35.0769;30.9995;-49.2702;9.25501;-48.1503;47.13;-48.1761;3.13618;4.56258;48.3391;-13.398;34.4548;21.6858;23.0807;-1.82864;7.39766;-11.7886;26.0822;39.6781;-41.7052;48.764;16.5522;37.9349;15.2017;-38.561;-38.2092;39.3186;-11.9129;-7.79534;22.9095;3.77817;45.0896;-33.7453;11.3419;-31.706;16.1227;3.45628;-41.1782;-8.86238;-23.1047;-38.5568;-10.0546;6.46247;0.749112;-27.8131;-22.7712;-35.4209;-35.9786",2,1536,1536,289,96266.092447,96374.118571,96158.066324,96374.118571,232894158796,233155503705,232632813887,233155503705,493.567062,4.901614,4.249699,95443476507.500000,15053343110.500000,0.157720,13534855382.500000,690716.000000,54558174640.500000,4980524.000000,0.000091,13541742922.500000,1170640.500000,0.000086,47109738.000000,44541089.500000,0.945475,1831092.500000,1784227.000000,0.974406,13693.000000,0.000000,136599.000000,3668517619.500000,24173260.500000,0.006589,194696536279.000000,0.835987
gen_2048x2048_1,generated 2048*2048,200,"-16.4644;-0.389752;46.1942;12.4446;1.35938;27.5582;-49.9384;-24.4358;-29.0128;10.5989;-12.04;34.7778;34.0465;-17.8127;-6.97444;-27.896;-49.5129;-10.7966;-2.57838;-16.5794;-43.5446;-35.1743;-27.252;-41.6135;11.4093;-36.7718;-34.9748;46.1461;48.8706;3.77751;8.89453;-25.7823;34.1967;3.02012;-35.9777;21.0011;-33.0068;-39.9623;-32.2025;-16.6859;-17.9067;-24.021;34.3125;10.7279;9.91874;-34.5485;21.6718;-9.90838;-23.3532;5.98555;6.64359;35.9919;26.9708;11.738;-16.3603;41.0794;20.6763;-20.1552;49.6182;38.6769;-32.3756;-33.1124;21.6121;-45.9678;33.26;44.6092;2.34754;11.9967;7.18868;13.7006;-15.3004;-31.9334;18.4858;5.5493;33.3209;-28.777;40.3812;-31.4758;-15.2713;49.0443;-28.6509;20.4628;-12.5405;-46.8836;-48.8548;9.51351;49.0043;-36.2062;-6.7814;-47.614;-48.9214;31.0409;5.09256;4.37416;41.0487;6.20231;-48.8363;41.8159;-49.427;-22.9199;39.1443;-46.5431;-3.42947;-16.4573;-12.0947;19.1788;9.23942;-31.6088;17.8716;-0.0101579;-17.3264;-23.5508;-22.2898;-0.699397;21.0658;45.9038;-5.518;38.1444;46.5745;16.7252;-28.1474;34.3506;-28.067;32.5146;38.8913;-36.3618;10.8784;-20.1959;42.8131;19.0754;0.265443;-16.4295;-23.0866;-46.0176;-11.601;39.2006;-35.5709;22.2875;-42.3797;7.90349;17.8426;-34.1505;15.9476;31.1526;-11.9763;-4.16902;-9.23866;17.0803;-39.0164;48.0012;-27.7193;-34.4125;-35.0769;30.9995;-49.2702;9.25501;-48.1503;47.13;-48.1761;3.13618;4.56258;48.3391;-13.398;34.4548;21.6858;23.0807;-1.82864;7.39766;-11.7886;26.0822;39.6781;-41.7052;48.764;16.5522;37.9349;15.2017;-38.561;-38.2092;39.3186;-11.9129;-7.79534;22.9095;3.77817;45.0896;-33.7453;11.3419;-31.706;16.1227;3.45628;-41.1782;-8.86238;-23.1047;-38.5568;-10.0546;6.46247;0.749112;-27.8131;-22.7712;-35.4209;-35.9786",2,2048,2048,289,201188.783762,201253.293472,201124.274052,201253.293472,486731201859,486887268654,486575135065,486887268654,580.228808,4.169521,3.614974,169345162401.500000,26943916642.500000,0.159107,23910989375.000000,4268381.500000,96582226201.500000,34863759.500000,0.000361,23891961237.000000,8241042.500000,0.000345,73269666.000000,70946154.000000,0.968288,10702156.500000,4614807.000000,0.431203,504711.000000,239172.000000,2094278.000000,6417447249.500000,40284261.500000,0.006277,345175941965.500000,0.709172
