variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_43x43_1,generated 43*43,6.700000,5,43,43,289,3.026173,3.031216,3.000629,3.038116,7321225,7333425,7259427,7350120,3959.559221,0.611003,0.529739,547905.200000,9960.400000,0.018179,1309634.000000,148.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.600000,2.000000,0.029155,24.000000,0.000000,0.000000,0.000000,88.800000,9.200000,0.103604,453.600000,0.000062
gen_46x46_1,generated 46*46,6.700000,5,46,46,289,3.488449,3.487035,3.468439,3.509105,8439648,8436228,8391237,8489622,3988.491493,0.606573,0.525899,836823.200000,11267.600000,0.013465,1446839.200000,161.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.200000,7.400000,0.106936,55.000000,0.000000,0.000000,0.000000,88.800000,10.800000,0.121622,453.600000,0.000054
gen_49x49_1,generated 49*49,6.700000,5,49,49,289,3.968882,3.960823,3.935310,4.011715,9601912,9582416,9520692,9705538,3999.130362,0.604956,0.524497,35690.000000,7976.200000,0.223486,1149390.600000,140.000000,1306307.800000,0.000000,0.000000,4.800000,0.000000,0.000000,48.800000,26.000000,0.532787,63.200000,4.200000,0.066456,0.000000,91.200000,10.600000,0.116228,464.400000,0.000048
gen_52x52_1,generated 52*52,6.700000,5,52,52,289,4.472350,4.467445,4.453577,4.499138,10820010,10808144,10774593,10884819,4001.482988,0.604604,0.524192,1229225.600000,14754.600000,0.012003,1530574.600000,150.400000,988196.200000,0.000000,0.000000,0.000000,0.000000,0.000000,138.600000,24.000000,0.173160,42.000000,0.800000,0.019048,0.000000,88.800000,10.600000,0.119369,453.600000,0.000042
gen_55x55_1,generated 55*55,6.700000,5,55,55,289,4.993773,4.992112,4.982670,5.001763,12081440,12077423,12054580,12100772,3993.864463,0.605754,0.525189,853642.200000,28219.200000,0.033057,1546697.200000,151.600000,2220352.800000,0.000000,0.000000,0.000000,0.000000,0.000000,27.400000,8.600000,0.313869,8.800000,1.000000,0.113636,0.000000,91.200000,9.600000,0.105263,464.400000,0.000038
gen_58x58_1,generated 58*58,6.700000,5,58,58,289,5.595221,5.596151,5.560621,5.647175,13536573,13538824,13452864,13662265,4023.951546,0.601227,0.521264,700714.200000,48088.400000,0.068628,1540505.000000,113.000000,3355462.600000,0.000000,0.000000,216456.400000,0.000000,0.000000,15.000000,5.200000,0.346667,4.400000,0.600000,0.136364,0.000000,93.600000,12.800000,0.136752,475.200000,0.000035
gen_61x61_1,generated 61*61,6.700000,5,61,61,289,6.201335,6.201684,6.189212,6.210815,15002936,15003781,14973606,15025872,4031.963451,0.600032,0.520228,576209.200000,52103.400000,0.090424,1555240.800000,135.000000,4446245.800000,0.000000,0.000000,554890.000000,0.000000,0.000000,14.000000,5.400000,0.385714,5.800000,0.000000,0.000000,0.000000,98.400000,11.200000,0.113821,496.800000,0.000033
gen_64x64_1,generated 64*64,6.700000,5,64,64,289,6.850647,6.842894,6.832642,6.878862,16573833,16555075,16530274,16642094,4046.345947,0.597900,0.518379,332344.600000,45759.600000,0.137687,1550693.600000,137.200000,5235318.200000,0.000000,0.000000,935830.000000,0.000000,0.000000,12.600000,1.000000,0.079365,3.600000,0.800000,0.222222,0.400000,72956.800000,70.800000,0.000970,3297007.800000,0.198929
gen_67x67_1,generated 67*67,6.700000,5,67,67,289,7.549288,7.532517,7.523395,7.586947,18264074,18223500,18201431,18355184,4068.628648,0.594626,0.515540,1257898.000000,68467.600000,0.054430,1547341.800000,134.800000,5213414.600000,0.000000,0.000000,998561.400000,0.000000,0.000000,68.800000,44.600000,0.648256,4.200000,1.000000,0.238095,1.400000,98094.400000,97.400000,0.000993,4728699.200000,0.258907
gen_70x70_1,generated 70*70,6.700000,5,70,70,289,8.260094,8.268650,8.222915,8.281012,19983692,20004392,19893744,20034299,4078.304490,0.593214,0.514316,1873141.800000,56081.600000,0.029940,1545226.600000,94.000000,5223013.000000,0.000000,0.000000,1473484.800000,0.000000,0.000000,148.600000,82.200000,0.553163,3.600000,1.000000,0.277778,0.000000,258988.600000,240.400000,0.000928,14518572.000000,0.726521
gen_73x73_1,generated 73*73,6.700000,5,73,73,289,9.062975,9.058019,9.039599,9.088206,21926350,21914361,21869797,21987392,4114.533684,0.587997,0.509793,3133606.400000,79836.600000,0.025478,1550251.000000,109.200000,5179962.600000,0.000000,0.000000,1535239.200000,0.000000,0.000000,180.200000,87.800000,0.487236,3.600000,0.000000,0.000000,1.000000,484241.400000,1300.200000,0.002685,26724057.600000,1.218810
gen_76x76_1,generated 76*76,6.700000,5,76,76,289,9.857378,9.856187,9.811134,9.891329,23848231,23845349,23736351,23930371,4128.848857,0.585957,0.508025,4422802.800000,108803.000000,0.024600,1548864.000000,123.800000,5182375.000000,4.200000,0.000001,1527464.400000,0.000000,0.000000,263.400000,130.200000,0.494305,5.400000,1.600000,0.296296,6.400000,591660.000000,905.600000,0.001531,33091765.600000,1.387598
gen_79x79_1,generated 79*79,6.700000,5,79,79,289,10.599302,10.595829,10.578419,10.619945,25643025,25634625,25592503,25692969,4108.800673,0.588812,0.510500,5689896.600000,133513.200000,0.023465,1555340.200000,78.400000,5198881.600000,2.000000,0.000000,1561891.200000,0.000000,0.000000,305.000000,214.600000,0.703607,4.200000,0.400000,0.095238,1.000000,741137.400000,2055.000000,0.002773,40546436.000000,1.581188
