variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_40x40_1,generated 40*40,6.700000,10,40,40,9,0.457182,0.455110,0.454198,0.467565,1106104,1101092,1098887,1131226,691.315000,3.499703,0.094492,366191.200000,732.800000,0.002001,61685.700000,42.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.200000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.600000,7.600000,0.100529,401.500000,0.000363
gen_43x43_1,generated 43*43,6.700000,10,43,43,9,0.556030,0.531689,0.530210,0.699686,1345269,1286379,1282800,1692835,727.565711,3.325361,0.089785,332716.800000,900.500000,0.002707,106081.300000,34.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.800000,1.600000,0.421053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.800000,8.000000,0.104167,407.000000,0.000303
gen_46x46_1,generated 46*46,6.700000,10,46,46,9,0.623470,0.612805,0.609945,0.663914,1508437,1482634,1475714,1606288,712.871928,3.393907,0.091635,123380.000000,741.800000,0.006012,216271.300000,58.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,9.700000,0.115476,440.000000,0.000292
gen_49x49_1,generated 49*49,6.700000,10,49,49,9,0.710700,0.698213,0.697375,0.804465,1719479,1689270,1687242,1946337,716.151187,3.378360,0.091216,826349.200000,1172.700000,0.001419,144.000000,32.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.800000,0.900000,0.236842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,7.200000,0.100000,385.000000,0.000224
gen_52x52_1,generated 52*52,6.700000,10,52,52,9,0.792743,0.790522,0.788670,0.801529,1917975,1912600,1908120,1939231,709.310281,3.410941,0.092095,374629.600000,1155.000000,0.003083,202839.600000,68.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.800000,3.500000,0.921053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79.200000,7.300000,0.092172,418.000000,0.000218
gen_55x55_1,generated 55*55,6.700000,10,55,55,9,0.895692,0.896910,0.888606,0.902845,2167045,2169992,2149903,2184352,716.378512,3.377277,0.091186,332005.500000,1079.600000,0.003252,260565.300000,53.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,81.600000,8.200000,0.100490,429.000000,0.000198
gen_58x58_1,generated 58*58,6.700000,10,58,58,9,0.999059,0.996614,0.989418,1.021376,2417146,2411231,2393819,2471139,718.533294,3.367167,0.090914,204340.700000,903.000000,0.004419,351372.200000,78.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.400000,10.400000,0.120370,451.000000,0.000187
gen_61x61_1,generated 61*61,6.700000,10,61,61,9,1.118846,1.119199,1.111241,1.134019,2706951,2707805,2688552,2743662,727.479441,3.325748,0.089795,341850.600000,1093.400000,0.003198,349075.800000,87.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.700000,1.700000,0.459459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.200000,10.300000,0.120892,445.500000,0.000165
gen_64x64_1,generated 64*64,6.700000,10,64,64,9,1.230237,1.229999,1.218583,1.248734,2976449,2975874,2948253,3021202,726.672119,3.329440,0.089895,342862.800000,1113.800000,0.003249,398582.500000,73.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.200000,8.600000,0.100939,445.500000,0.000150
gen_67x67_1,generated 67*67,6.700000,10,67,67,9,1.347958,1.348973,1.338242,1.354848,3261271,3263725,3237763,3277941,726.502785,3.330221,0.089916,406216.500000,1193.500000,0.002938,427993.700000,88.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.200000,4.500000,0.489130,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,85.200000,9.400000,0.110329,445.500000,0.000137
