variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,5,1024,512,289,743.178637,742.806044,731.244894,754.802323,1797936835,1797035438,1769066096,1826057468,3429.292364,0.705467,0.611640,663805422.000000,21857000.000000,0.032927,151686546.000000,945.000000,382226045.200000,9879.400000,0.000026,150050513.600000,77.600000,0.000001,127673.600000,33140.000000,0.259568,126.600000,4184.800000,33.055292,24.000000,0.000000,102.800000,67072348.000000,447508.800000,0.006672,2127397329.600000,1.183244
gen_10x10_1,generated 10*10,6.700000,5,10,10,289,0.090892,0.090645,0.090236,0.092252,219891,219294,218305,223182,2198.910000,1.100211,0.953883,199597.000000,1737.000000,0.008703,144.000000,42.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.400000,0.200000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,10.200000,0.141667,378.000000,0.001719
gen_13x13_1,generated 13*13,6.700000,5,13,13,289,0.165045,0.164941,0.164908,0.165455,399288,399036,398957,400279,2362.650888,1.023962,0.887775,368226.000000,2647.600000,0.007190,144.000000,37.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,10.600000,0.147222,378.000000,0.000947
gen_16x16_1,generated 16*16,6.700000,5,16,16,289,0.263550,0.263317,0.263301,0.264417,637599,637036,636997,639698,2490.621094,0.971353,0.842163,589135.000000,3819.000000,0.006482,144.000000,36.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.400000,0.200000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,10.600000,0.147222,378.000000,0.000593
gen_19x19_1,generated 19*19,6.700000,5,19,19,289,0.424728,0.424127,0.423390,0.427166,1027532,1026079,1024295,1033430,2846.349030,0.849956,0.736912,862343.000000,5242.800000,0.006080,144.000000,48.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.400000,0.600000,0.063830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,10.800000,0.150000,378.000000,0.000368
gen_22x22_1,generated 22*22,6.700000,5,22,22,289,0.584273,0.581712,0.578669,0.596673,1413514,1407317,1399957,1443513,2920.483471,0.828379,0.718205,1187720.800000,7029.600000,0.005919,144.000000,46.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.000000,10.000000,0.357143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,9.400000,0.130556,378.000000,0.000267
gen_25x25_1,generated 25*25,6.700000,5,25,25,289,0.799033,0.798697,0.798627,0.800228,1933070,1932258,1932088,1935961,3092.912000,0.782196,0.678164,1565418.000000,8820.200000,0.005634,144.000000,48.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.600000,1.600000,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,10.600000,0.147222,378.000000,0.000196
