variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_cache_misses,avg_instructions,ipc
real_data_1,real,3.319000,10,1024,512,289,3632.216904,3632.334482,3630.433052,3633.523827,8787125727,8787410175,8782810200,8790287460,16760.112242,0.144344,0.125146,6890788.100000,22233246790.400002,2.530207
gen_128x128_1,generated 128*128,3.319000,10,128,128,289,110.109828,110.058624,109.888544,110.715015,266384140,266260266,265848798,267848244,16258.797607,0.148797,0.129007,202301.600000,684022294.500000,2.567804
gen_256x256_1,generated 256*256,3.319000,10,256,256,289,448.552281,448.560576,448.274079,448.800391,1085157960,1085178028,1084484923,1085758201,16558.196411,0.146106,0.126674,409012.200000,2762485777.100000,2.545699
gen_512x512_1,generated 512*512,3.319000,10,512,512,289,1824.184859,1824.073697,1818.814102,1831.859618,4413167217,4412898287,4400173991,4431734411,16834.896915,0.143705,0.124592,1809083.600000,11102941728.300001,2.515867
