variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,3333.191801,3332.264137,3330.180621,3338.409858,8063892222,8061647952,8056607363,8076516113,15380.653805,0.157293,0.136373,5281007949.200001,40311151.500000,0.007633,28996.500000,11889.900000,0.410046,1815150949.100000,173318.700000,0.000095,22342325783.100002,2.770663
gen_10x10_1,generated 10*10,6.700000,10,10,10,289,0.424449,0.423448,0.422313,0.434567,1026870,1024447,1021701,1051348,10268.700000,0.235599,0.204265,657314.100000,1681.400000,0.002558,1.500000,0.100000,0.066667,254862.100000,703.500000,0.002760,2826749.100000,2.752782
gen_13x13_1,generated 13*13,6.700000,10,13,13,289,0.802539,0.802561,0.790281,0.814130,1941578,1941630,1911922,1969620,11488.627219,0.210582,0.182574,1236130.300000,2605.800000,0.002108,2.500000,0.400000,0.160000,463552.300000,820.600000,0.001770,5291485.300000,2.725353
gen_16x16_1,generated 16*16,6.700000,10,16,16,289,1.286924,1.288944,1.276361,1.292168,3113447,3118333,3087892,3126133,12161.902344,0.198924,0.172467,1997276.300000,3744.500000,0.001875,3.100000,0.400000,0.129032,734797.300000,1170.900000,0.001594,8527248.300000,2.738845
gen_19x19_1,generated 19*19,6.700000,10,19,19,289,1.914496,1.883164,1.876435,2.184504,4631727,4555926,4539646,5284954,12830.268698,0.188561,0.163483,2940770.000000,5217.200000,0.001774,7.000000,0.100000,0.014286,1068675.200000,1311.200000,0.001227,12534477.200000,2.706221
gen_22x22_1,generated 22*22,6.700000,10,22,22,289,2.587890,2.588297,2.576413,2.597419,6260868,6261855,6233104,6283922,12935.677686,0.187025,0.162151,4066485.100000,6799.300000,0.001672,6.400000,1.200000,0.187500,1465060.500000,1320.500000,0.000901,17312511.300000,2.765193
gen_25x25_1,generated 25*25,6.700000,10,25,25,289,3.429674,3.424426,3.415334,3.488388,8297401,8284705,8262708,8439448,13275.841600,0.182233,0.157996,5374571.000000,8769.700000,0.001632,9.300000,1.300000,0.139785,1924066.000000,1645.500000,0.000855,22861935.000000,2.755313
gen_28x28_1,generated 28*28,6.700000,10,28,28,289,4.387837,4.388951,4.379617,4.395064,10615480,10618175,10595594,10632965,13540.153061,0.178676,0.154912,6864921.100000,10852.000000,0.001581,27.400000,2.600000,0.094891,2445581.100000,4011.600000,0.001640,29182160.100000,2.749019
gen_31x31_1,generated 31*31,6.700000,10,31,31,289,5.427519,5.426220,5.414736,5.442944,13130780,13127639,13099856,13168099,13663.662851,0.177061,0.153512,8537631.500000,13360.600000,0.001565,33.000000,2.800000,0.084848,3029702.500000,3555.900000,0.001174,36273761.500000,2.762499
gen_34x34_1,generated 34*34,6.700000,10,34,34,289,6.575225,6.577381,6.555332,6.596977,15907449,15912666,15859321,15960073,13760.769031,0.175811,0.152429,10392570.600000,16015.000000,0.001541,48.900000,9.000000,0.184049,3676340.600000,1505.600000,0.000410,44136143.600000,2.774558
gen_37x37_1,generated 37*37,6.700000,10,37,37,289,7.856566,7.858757,7.836651,7.876900,19007378,19012681,18959198,19056574,13884.132944,0.174249,0.151074,12429793.100000,19176.100000,0.001543,83.300000,5.100000,0.061224,4385556.100000,1526.300000,0.000348,52769709.100000,2.776275
gen_40x40_1,generated 40*40,6.700000,10,40,40,289,9.272788,9.274507,9.249494,9.297161,22433647,22437807,22377293,22492612,14021.029375,0.172548,0.149599,14649405.300000,22839.300000,0.001559,146.000000,9.000000,0.061644,5157372.300000,3439.400000,0.000667,62174615.300000,2.771489
gen_43x43_1,generated 43*43,6.700000,10,43,43,289,10.778812,10.782532,10.760250,10.797831,26077074,26086075,26032169,26123089,14103.339102,0.171540,0.148725,17051265.700000,26385.400000,0.001547,137.500000,4.300000,0.031273,5991734.700000,3553.600000,0.000593,72350493.700000,2.774487
gen_46x46_1,generated 46*46,6.700000,10,46,46,289,12.410529,12.408268,12.387686,12.438779,30024811,30019342,29969547,30093157,14189.419187,0.170500,0.147824,19635439.200000,31156.100000,0.001587,120.800000,7.400000,0.061258,6888669.200000,3039.500000,0.000441,83297518.200000,2.774290
gen_49x49_1,generated 49*49,6.700000,10,49,49,289,14.144860,14.143872,14.131508,14.162897,34220633,34218243,34188330,34264269,14252.658476,0.169744,0.147168,22401925.600000,37188.500000,0.001660,117.700000,30.000000,0.254885,7848175.600000,3106.100000,0.000396,95015688.600000,2.776561
gen_52x52_1,generated 52*52,6.700000,10,52,52,289,16.216379,16.219621,16.186794,16.236748,39232300,39240144,39160725,39281579,14508.986686,0.166745,0.144568,25350707.200000,46445.400000,0.001832,98.500000,15.400000,0.156345,8870246.200000,23891.600000,0.002693,107504953.200000,2.740215
gen_55x55_1,generated 55*55,6.700000,10,55,55,289,18.447115,18.454598,18.165314,19.189252,44629146,44647249,43947383,46424600,14753.436694,0.163982,0.142173,28481793.600000,110302.700000,0.003873,88.800000,15.500000,0.174550,9954885.600000,23631.700000,0.002374,120765338.600000,2.705975
gen_58x58_1,generated 58*58,6.700000,10,58,58,289,20.303907,20.301598,20.274961,20.355388,49121320,49115735,49051292,49245868,14602.057075,0.165682,0.143647,31795182.100000,221956.500000,0.006981,79.100000,10.300000,0.130215,11102091.100000,27051.400000,0.002437,134796842.100000,2.744162
gen_61x61_1,generated 61*61,6.700000,10,61,61,289,22.495138,22.510998,22.459388,22.523379,54422450,54460822,54335962,54490773,14625.759205,0.165414,0.143414,35290867.100000,273178.400000,0.007741,54.400000,7.000000,0.128676,12311863.100000,28509.300000,0.002316,149599446.100000,2.748855
gen_64x64_1,generated 64*64,6.700000,10,64,64,289,24.619084,24.622468,24.591013,24.649702,59560907,59569095,59492995,59634981,14541.237061,0.166375,0.144247,38968873.200000,303390.400000,0.007785,48.400000,8.800000,0.181818,13584210.200000,9412.100000,0.000693,165173221.200000,2.773182
gen_67x67_1,generated 67*67,6.700000,10,67,67,289,27.070118,27.062305,27.014520,27.176802,65490826,65471925,65356317,65748928,14589.179327,0.165829,0.143773,42829166.300000,333892.100000,0.007796,65.400000,26.100000,0.399083,14919117.300000,9801.700000,0.000657,181518060.300000,2.771656
gen_70x70_1,generated 70*70,6.700000,10,70,70,289,29.751743,29.757692,29.711298,29.785932,71978542,71992935,71880694,72061256,14689.498367,0.164696,0.142792,46871771.700000,364727.100000,0.007781,70.000000,16.600000,0.237143,16316595.700000,23614.300000,0.001447,198634044.700000,2.759629
gen_73x73_1,generated 73*73,6.700000,10,73,73,289,32.417258,32.426020,32.378541,32.453430,78427081,78448280,78333412,78514592,14717.035279,0.164388,0.142524,51096691.200000,398678.100000,0.007802,81.600000,29.200000,0.357843,17776647.200000,22602.800000,0.001271,216521176.200000,2.760796
gen_76x76_1,generated 76*76,6.700000,10,76,76,289,35.176163,35.174624,35.150242,35.214075,85101648,85097925,85038939,85193369,14733.664820,0.164202,0.142363,55503904.000000,432183.500000,0.007787,89.600000,47.800000,0.533482,19299262.000000,23464.700000,0.001216,235179405.000000,2.763512
gen_79x79_1,generated 79*79,6.700000,10,79,79,289,38.171270,38.109341,38.018553,38.380200,92348015,92198191,91978547,92853481,14796.990066,0.163500,0.141754,60093413.000000,467990.600000,0.007788,101.100000,50.600000,0.500495,20884441.000000,24305.800000,0.001164,254608724.000000,2.757057
gen_82x82_1,generated 82*82,6.700000,10,82,82,289,41.069982,41.072107,41.040440,41.111325,99360483,99365624,99289012,99460504,14776.990333,0.163721,0.141946,64865243.300000,504369.200000,0.007776,100.100000,59.900000,0.598402,22532195.300000,25183.900000,0.001118,274809214.300000,2.765780
gen_85x85_1,generated 85*85,6.700000,10,85,85,289,44.321287,44.243021,44.134011,44.536803,107226605,107037256,106773528,107748003,14841.052595,0.163014,0.141333,69819369.700000,543348.000000,0.007782,141.800000,74.000000,0.521862,24242514.700000,26092.200000,0.001076,295780799.700000,2.758465
gen_88x88_1,generated 88*88,6.700000,10,88,88,289,47.654430,47.743221,47.441887,48.032141,115290556,115505368,114776349,116204354,14887.726756,0.162503,0.140890,74955800.000000,583223.500000,0.007781,138.100000,59.800000,0.433020,26015402.000000,27011.900000,0.001038,317523505.000000,2.754115
gen_91x91_1,generated 91*91,6.700000,10,91,91,289,51.041744,51.130521,50.794159,51.400556,123485588,123700366,122886605,124353664,14911.917401,0.162240,0.140662,80274687.700000,624842.100000,0.007784,181.600000,98.900000,0.544604,27851020.700000,27834.100000,0.000999,340037874.700000,2.753664
gen_94x94_1,generated 94*94,6.700000,10,94,94,289,54.295683,54.294962,54.263781,54.349259,131357752,131356010,131280572,131487371,14866.200996,0.162739,0.141094,85775728.100000,666962.800000,0.007776,197.200000,108.700000,0.551217,29749046.100000,28685.500000,0.000964,363322822.100000,2.765903
gen_97x97_1,generated 97*97,6.700000,10,97,97,289,58.841742,58.691975,57.826987,60.616613,142356193,141993861,139901190,146650148,15129.789882,0.159903,0.138636,91459074.900000,711430.500000,0.007779,210.100000,113.500000,0.540219,31709641.900000,29581.100000,0.000933,387378891.900000,2.721195
gen_100x100_1,generated 100*100,6.700000,10,100,100,289,61.789019,61.868584,61.535274,61.910031,149486821,149679312,148872933,149779586,14948.682100,0.161841,0.140316,97324721.100000,755798.500000,0.007766,223.800000,126.100000,0.563450,33732801.100000,30430.300000,0.000902,412206077.100000,2.757474
gen_103x103_1,generated 103*103,6.700000,10,103,103,289,65.617646,65.700242,65.398197,65.732466,158749545,158949370,158218629,159027329,14963.667169,0.161679,0.140176,103372673.400000,802968.000000,0.007768,244.300000,139.100000,0.569382,35818530.400000,31295.400000,0.000874,437804384.400000,2.757831
gen_106x106_1,generated 106*106,6.700000,10,106,106,289,69.663741,69.591148,69.301930,70.420323,168537875,168362251,167662546,170368280,14999.810876,0.161289,0.139838,109602843.300000,851320.000000,0.007767,269.300000,153.000000,0.568140,37966737.300000,32152.400000,0.000847,464173525.400000,2.754120
gen_109x109_1,generated 109*109,6.700000,10,109,109,289,74.145364,73.653962,73.348942,79.386899,179380953,178192096,177454157,192061875,15098.135931,0.160239,0.138927,116015413.000000,900443.600000,0.007761,251.800000,136.700000,0.542891,40177612.000000,33030.900000,0.000822,491314082.100000,2.738942
gen_112x112_1,generated 112*112,6.700000,10,112,112,289,77.492718,77.502283,77.434294,77.550663,187479316,187502457,187337970,187619503,14945.736288,0.161873,0.140344,122610266.100000,950480.700000,0.007752,254.900000,139.900000,0.548843,42451034.100000,33878.300000,0.000798,519225738.200000,2.769509
