variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_16x16_1,generated 16*16,20,"-2.137;-2.037;-1.987;-1.75;-1.34;-0.56;-0.34;-0.31;-0.17;-0.004;0.004;0.17;0.31;0.34;0.56;1.34;1.75;1.987;2.037;2.137",7,16,16,289,6.149142,6.152150,6.135029,6.163005,14876386,14883663,14842243,14909924,2905.544141,0.832636,0.721896,2427077.285714,55764.428571,0.022976,1927662.285714,108.714286,5019346.714286,0.000000,0.000000,1931054.428571,0.000000,0.000000,2.571429,0.285714,0.111111,0.285714,0.000000,0.000000,1.000000,0.000000,0.000000,304553.285714,2257.428571,0.007412,13076053.714286,0.878981
gen_32x32_1,generated 32*32,20,"-2.137;-2.037;-1.987;-1.75;-1.34;-0.56;-0.34;-0.31;-0.17;-0.004;0.004;0.17;0.31;0.34;0.56;1.34;1.75;1.987;2.037;2.137",7,32,32,289,27.503080,27.499053,27.475811,27.545500,66537534,66527793,66471564,66640160,3248.903027,0.744644,0.645606,25153525.285714,573038.285714,0.022782,5535072.571429,275.714286,14227236.142857,10.428571,0.000001,5555702.571429,88.571429,0.000016,25.428571,2.714286,0.106742,14.142857,7.000000,0.494949,18.857143,0.000000,52.000000,2521650.571429,69188.857143,0.027438,78949787.714286,1.186545
gen_64x64_1,generated 64*64,20,"-2.137;-2.037;-1.987;-1.75;-1.34;-0.56;-0.34;-0.31;-0.17;-0.004;0.004;0.17;0.31;0.34;0.56;1.34;1.75;1.987;2.037;2.137",7,64,64,289,110.425798,110.433134,110.318833,110.582877,267150451,267168201,266891675,267530471,3261.113904,0.741856,0.643189,101937751.428571,2802010.142857,0.027487,23113469.285714,773.571429,57588742.285714,42.571429,0.000001,22807479.571429,773.142857,0.000034,187.857143,48.428571,0.257795,325.428571,93.285714,0.286655,37.428571,0.000000,303.000000,10200966.285714,138125.428571,0.013540,324084816.428571,1.213117
gen_128x128_1,generated 128*128,20,"-2.137;-2.037;-1.987;-1.75;-1.34;-0.56;-0.34;-0.31;-0.17;-0.004;0.004;0.17;0.31;0.34;0.56;1.34;1.75;1.987;2.037;2.137",7,128,128,289,444.602347,444.447571,444.333063,445.416388,1075617501,1075243054,1074966027,1077586893,3282.524112,0.737018,0.638995,401918142.142857,10877976.571429,0.027065,94800358.714286,403.000000,239193171.857143,0.571429,0.000000,94912091.142857,511.714286,0.000005,5467.857143,489.857143,0.089589,127.571429,7.285714,0.057111,119.714286,0.000000,1344.000000,40988258.000000,275220.000000,0.006715,1309082204.142857,1.217052
gen_256x256_1,generated 256*256,20,"-2.137;-2.037;-1.987;-1.75;-1.34;-0.56;-0.34;-0.31;-0.17;-0.004;0.004;0.17;0.31;0.34;0.56;1.34;1.75;1.987;2.037;2.137",7,256,256,289,1797.259912,1797.412208,1795.721931,1798.195894,4347745900,4348114319,4344025374,4350010130,3317.066879,0.729288,0.632293,1658609929.428571,44310731.000000,0.026716,375629911.857143,6576.142857,940220788.000000,3394.142857,0.000004,376917450.142857,9880.428571,0.000026,55338.571429,9853.857143,0.178065,3751.571429,1622.142857,0.432390,133.285714,0.000000,5474.000000,166315860.142857,558780.000000,0.003360,5333063261.857142,1.226627
gen_512x512_1,generated 512*512,20,"-2.137;-2.037;-1.987;-1.75;-1.34;-0.56;-0.34;-0.31;-0.17;-0.004;0.004;0.17;0.31;0.34;0.56;1.34;1.75;1.987;2.037;2.137",7,512,512,289,7234.441855,7234.463136,7232.950084,7236.122205,17502140361,17502191845,17498531349,17506205597,3338.268349,0.724711,0.628324,6609833892.428571,177255761.142857,0.026817,1516634365.000000,15134.142857,3792040161.714285,7566.285714,0.000002,1514110748.285714,41702.714286,0.000028,274220.142857,48348.285714,0.176312,69693.000000,47208.000000,0.677371,1822.000000,0.000000,16875.000000,664949751.428571,1112037.571429,0.001672,21260397627.285713,1.214731
gen_1024x1024_1,generated 1024*1024,20,"-2.137;-2.037;-1.987;-1.75;-1.34;-0.56;-0.34;-0.31;-0.17;-0.004;0.004;0.17;0.31;0.34;0.56;1.34;1.75;1.987;2.037;2.137",7,1024,1024,289,28777.618084,28777.252577,28756.902436,28795.443586,69621423223,69620538956,69571306050,69664548295,3319.808160,0.728744,0.631821,26538906252.285713,709071208.285714,0.026718,6067011386.714286,37311.000000,15155382547.285713,9629.714286,0.000001,6069405470.285714,84558.428571,0.000014,373507.428571,238708.571429,0.639100,121143.428571,78633.857143,0.649097,2943.857143,0.000000,29269.571429,2667964388.714285,2233908.285714,0.000837,85373178154.714279,1.226249
gen_2048x2048_1,generated 2048*2048,20,"-2.137;-2.037;-1.987;-1.75;-1.34;-0.56;-0.34;-0.31;-0.17;-0.004;0.004;0.17;0.31;0.34;0.56;1.34;1.75;1.987;2.037;2.137",7,2048,2048,289,115163.954224,115145.385373,115105.985912,115283.954909,278615532568,278570609047,278475290145,278905849579,3321.355970,0.728406,0.631528,106186618587.571426,2958215755.285714,0.027859,24297623707.000000,88046.142857,60708815175.000000,26588.857143,0.000000,24297567335.000000,2137349.285714,0.000088,2195197.714286,1011544.714286,0.460799,19537.428571,19364.857143,0.991167,22864.285714,0.000000,333072.142857,10674286918.142857,4505598.000000,0.000422,341572901323.571411,1.225965
