variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_16x16_1,generated 16*16,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,16,16,289,5.379623,5.371646,5.359090,5.444659,13014620,12995323,12964946,13171960,7262.622768,0.333109,0.288805,765951.857143,1095.285714,0.001430,823683.285714,171.285714,3451930.714286,0.000000,0.000000,556286.571429,0.000000,0.000000,21.857143,13.428571,0.614379,0.428571,0.000000,0.000000,0.142857,0.000000,0.142857,237793.857143,851.000000,0.003579,2360387.714286,0.181364
gen_32x32_1,generated 32*32,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,32,32,289,29.400353,29.383350,29.315777,29.617164,71126887,71085752,70922276,71651408,9922.835798,0.243807,0.211380,18341003.285714,183226.857143,0.009990,3408433.000000,231.714286,10405622.142857,0.142857,0.000000,2628107.857143,0.428571,0.000000,192.714286,34.571429,0.179392,21.571429,9.714286,0.450331,0.000000,0.000000,0.142857,6665538.857143,4369.857143,0.000656,52079218.428571,0.732202
gen_64x64_1,generated 64*64,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,64,64,289,143.092353,143.090502,142.923649,143.223713,346177748,346173272,345769610,346495543,12073.721680,0.200374,0.173724,90578403.571429,1261924.714286,0.013932,14363506.142857,886.285714,54434408.285714,54.428571,0.000001,13723492.142857,232.571429,0.000017,1010.857143,731.428571,0.723573,121.000000,97.428571,0.805195,14.857143,0.000000,82.000000,31346325.000000,12775.857143,0.000408,255517664.714286,0.738111
gen_128x128_1,generated 128*128,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,128,128,289,632.167861,631.692833,631.121166,635.640070,1529379592,1528230375,1526847362,1537779775,13335.131766,0.181420,0.157291,407430243.571429,3670876.571429,0.009010,61293262.000000,2398.714286,232199962.428571,215.000000,0.000001,61131893.428571,1161.285714,0.000019,38001.142857,1776.714286,0.046754,11546.857143,245.857143,0.021292,81.857143,0.000000,460.000000,137950816.857143,35234.142857,0.000255,1159585315.142857,0.758206
gen_256x256_1,generated 256*256,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,256,256,289,2652.957166,2652.504492,2652.083733,2655.675926,6418208663,6417113523,6416095597,6424786066,13990.584593,0.172921,0.149923,1698922798.571429,16003065.428571,0.009420,257648492.714286,5974.571429,970902253.285714,1981.000000,0.000002,257307866.714286,671.714286,0.000003,79294.000000,28338.142857,0.357381,8809.285714,2477.571429,0.281245,230.285714,0.000000,1936.000000,569919135.857143,68337.714286,0.000120,4845392831.714286,0.754945
gen_512x512_1,generated 512*512,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,512,512,289,10800.071379,10795.830280,10788.423283,10814.960898,26128290629,26118030265,26100110738,26164312398,14238.788403,0.169907,0.147309,6942150820.285714,70702537.428571,0.010185,1055084860.428571,12448.428571,3973323290.857142,30845.142857,0.000008,1055246839.285714,17023.285714,0.000016,296992.285714,118522.142857,0.399075,58193.000000,17806.428571,0.305989,822.571429,0.000000,5796.000000,2316411270.428571,136191.000000,0.000059,19803421944.000000,0.757930
gen_1024x1024_1,generated 1024*1024,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,1024,1024,289,43761.497920,43696.136706,43470.993586,44047.891713,105870763017,105712636767,105167955367,106563626170,14423.746793,0.167728,0.145420,28075007623.714283,301572911.428571,0.010742,4274580380.000000,42145.857143,16049773216.000000,49016.571429,0.000003,4271931157.857142,38600.142857,0.000009,4175411.714286,457785.428571,0.109638,67311.142857,70169.857143,1.042470,2362.714286,0.000000,10287.857143,9343303358.857141,266823.571429,0.000029,80079228363.142853,0.756387
gen_2048x2048_1,generated 2048*2048,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,2048,2048,289,181457.115640,181458.697267,181427.664505,181487.111438,439010272198,439014098727,438939019272,439082842865,14952.600758,0.161802,0.140282,112959066307.142853,3861550678.571428,0.034185,17190606371.142857,176165.857143,64558483163.000000,1633115.714286,0.000025,17200234636.571426,1406701.000000,0.000082,7002673.285714,5002384.000000,0.714353,1148771.714286,579082.571429,0.504088,22776.285714,0.000000,132160.000000,37526660351.142853,540481.142857,0.000014,322067936972.142822,0.733623
