variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_case1_256x256_stack1_bench2,generated 256*256,1,"-26.319",2,256,256,289,310.363930,310.672658,310.055201,310.672658,750846884,751593774,750099995,751593774,11457.014221,0.211159,0.183074,181874130.500000,2081183.000000,0.011443,50901329.000000,403.500000,111568119.500000,92.000000,0.000001,51093049.000000,0.000000,0.000000,2368.500000,635.500000,0.268313,9.500000,0.000000,0.000000,20.000000,0.000000,136.000000,23509575.500000,27272.500000,0.001160,601128317.500000,0.800600
gen_case2_384x384_stack1_bench2,generated 384*384,1,"-46.9186",2,384,384,289,693.938877,694.658959,693.218796,694.658959,1678816784,1680558846,1677074722,1680558846,11385.204970,0.212491,0.184230,413451311.500000,4750811.000000,0.011491,112038721.500000,700.500000,244628640.000000,93.500000,0.000000,112058817.000000,0.000000,0.000000,3156.000000,1336.500000,0.423479,23.500000,0.000000,0.000000,2.500000,0.000000,306.000000,52957197.500000,40478.000000,0.000764,1322249672.000000,0.787608
gen_case3_512x512_stack1_bench2,generated 512*512,1,"28.8773",2,512,512,289,1291.248959,1292.047596,1290.450323,1292.047596,3123868597,3125800708,3121936487,3125800708,11916.612995,0.203016,0.176015,772987820.500000,8728473.500000,0.011292,202940748.000000,1933.500000,443993977.000000,75.500000,0.000000,201728080.500000,1.000000,0.000000,5189.000000,2289.500000,0.441222,89.000000,2.000000,0.022472,28.500000,0.000000,299.000000,96312834.000000,54565.000000,0.000567,2398654119.000000,0.767847
gen_case4_768x768_stack1_bench2,generated 768*768,1,"-15.3911",2,768,768,289,2921.602370,2921.687728,2921.517013,2921.687728,7068133823,7068340326,7067927321,7068340326,11983.462563,0.201884,0.175033,1766210374.000000,19708844.000000,0.011159,468055685.500000,2985.500000,1015361662.000000,146.500000,0.000000,462265818.000000,228.000000,0.000000,11048.000000,5875.000000,0.531770,267.500000,236.500000,0.884112,64.000000,0.000000,458.000000,222724054.500000,82904.500000,0.000372,5517592153.500000,0.780629
gen_case5_1024x1024_stack1_bench2,generated 1024*1024,1,"12.3281",2,1024,1024,289,5220.499478,5226.294643,5214.704314,5226.294643,12629746721,12643766732,12615726711,12643766732,12044.665071,0.200857,0.174143,3161449024.500000,35213543.000000,0.011138,830559544.500000,5076.000000,1809000869.000000,114.000000,0.000000,827696236.500000,223.000000,0.000000,18039.000000,10992.500000,0.609374,386.500000,17.000000,0.043984,442.500000,0.000000,899.000000,398387215.500000,127348.500000,0.000320,9880660438.500000,0.782332
gen_case6_1536x1536_stack1_bench2,generated 1536*1536,1,"11.5816",2,1536,1536,289,11766.806934,11766.847151,11766.766718,11766.847151,28466969533,28467066827,28466872239,28467066827,12065.874538,0.200504,0.173837,7137363127.500000,82603065.000000,0.011573,1871365975.000000,9136.500000,4086584030.500000,173.500000,0.000000,1869407979.000000,614.000000,0.000000,34717.500000,23561.500000,0.678663,101.500000,19.500000,0.192118,18.000000,0.000000,808.000000,906381320.500000,167250.500000,0.000185,22363985797.500000,0.785612
gen_case7_2048x2048_stack1_bench2,generated 2048*2048,1,"-35.1445",2,2048,2048,289,20868.434516,20913.863109,20823.005923,20913.863109,50486316531,50596220430,50376412633,50596220430,12036.875851,0.200988,0.174257,12649723381.000000,147902828.500000,0.011692,3308238378.500000,17594.000000,7229898658.000000,182.500000,0.000000,3308402088.500000,9044.000000,0.000003,53435.000000,33558.000000,0.628015,1862.500000,1276.000000,0.685101,580.500000,0.000000,1052.000000,1589281894.000000,222391.000000,0.000140,39534088502.500000,0.783065
gen_case8_3072x3072_stack1_bench2,generated 3072*3072,1,"-31.6909",2,3072,3072,289,67914.119111,72931.172275,62897.065948,72931.172275,164306272159,176444150311,152168394008,176444150311,17410.519087,0.138958,0.120476,28555706822.000000,377212441.500000,0.013210,7492906065.500000,687385.000000,16275491663.000000,2917842.500000,0.000179,7455808060.500000,53362.500000,0.000007,1172424.500000,1088204.000000,0.928166,9977.500000,1075.000000,0.107742,147921.000000,159112.500000,1113116.500000,3590126358.000000,403295.000000,0.000112,89137539471.500000,0.542508
gen_case9_4096x4096_stack1_bench2,generated 4096*4096,1,"-38.5587",2,4096,4096,289,160421.869257,162212.736921,158631.001592,162212.736921,388117019640,392449759457,383784279823,392449759457,23133.577087,0.104582,0.090672,50552252238.500000,672988071.500000,0.013313,13287952505.500000,1807190.500000,29111956839.000000,4902955.500000,0.000168,13313915545.500000,155161.500000,0.000012,2504413.500000,2353479.500000,0.939733,4986.500000,361.000000,0.072395,497528.500000,445250.500000,3118851.000000,6388850339.000000,645776.000000,0.000101,158620556478.000000,0.408693
