variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_256x256_1,generated 256*256,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,256,256,289,1868.797668,1869.583819,1868.011516,1869.583819,4521084033,4522985928,4519182138,4522985928,3285.060362,0.736439,0.638493,1655495915.000000,45264198.000000,0.027342,378485648.500000,10375.000000,936214644.000000,4379.000000,0.000005,378355868.500000,479.000000,0.000001,77630.000000,28259.000000,0.364022,2693.500000,2060.000000,0.764804,31.000000,0.000000,5745.000000,165814729.500000,572668.000000,0.003454,5337774582.000000,1.180640
gen_384x384_1,generated 384*384,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,384,384,289,4266.179966,4266.732340,4265.627591,4266.732340,10320909030,10322245356,10319572705,10322245356,3333.006853,0.725843,0.629306,3774828914.000000,102916832.000000,0.027264,863671370.500000,19257.000000,2173929807.500000,4149.500000,0.000002,866070470.000000,3075.000000,0.000004,233620.000000,60835.000000,0.260402,13661.500000,876.500000,0.064158,653.000000,0.000000,12965.000000,378999886.500000,861277.500000,0.002273,12148998903.000000,1.177125
gen_512x512_1,generated 512*512,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,512,512,289,7675.743783,7692.130312,7659.357255,7692.130312,18579015898,18618679231,18539352566,18618679231,3374.920054,0.717197,0.621810,6795679980.000000,183768895.500000,0.027042,1549443007.000000,33383.500000,3867383880.500000,7408.000000,0.000002,1558327503.500000,20164.000000,0.000013,299528.000000,135941.500000,0.453852,109430.000000,54903.000000,0.501718,1190.500000,0.000000,17452.000000,684195542.000000,1158841.000000,0.001694,21901961077.500000,1.178855
gen_768x768_1,generated 768*768,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,768,768,289,17327.437714,17339.849129,17315.026299,17339.849129,41937641129,41967680508,41907601750,41967680508,3385.807512,0.714838,0.619764,15399954418.500000,414959722.000000,0.026946,3525182215.500000,28543.500000,8813677701.500000,8349.500000,0.000001,3525118465.000000,76247.000000,0.000022,350166.500000,215502.500000,0.615429,4426.000000,3374.000000,0.762314,3790.000000,0.000000,25381.000000,1548651285.500000,1745568.000000,0.001127,49581314025.500000,1.182263
gen_1024x1024_1,generated 1024*1024,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,1024,1024,289,30956.464018,30967.432296,30945.495740,30967.432296,74914286087,74940829194,74887742981,74940829194,3402.087170,0.711325,0.616718,27521099371.000000,739692232.000000,0.026877,6294364498.500000,39655.000000,15737409182.500000,11840.500000,0.000001,6291301633.000000,152912.000000,0.000024,442653.000000,371308.000000,0.838824,104050.500000,195929.000000,1.883018,3624.500000,0.000000,31065.000000,2765705751.000000,2328410.500000,0.000842,88484017957.500000,1.181137
gen_2048x2048_1,generated 2048*2048,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,2048,2048,289,124827.805457,124852.281088,124803.329825,124852.281088,302043605447,302102828694,301984382200,302102828694,3429.181297,0.705615,0.611768,110860509417.500000,3092793744.000000,0.027898,25354269973.500000,120527.500000,63347670505.500000,11148.500000,0.000000,25334816755.500000,1196954.500000,0.000047,1675176.000000,1298533.000000,0.775162,21964.500000,21593.500000,0.983109,14242.500000,0.000000,169379.000000,11146777338.000000,4714376.000000,0.000423,356585905089.500000,1.180578
gen_1536x1536_1,generated 1536*1536,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,1536,1536,289,69896.020402,69897.405504,69894.635300,69897.405504,169117070284,169120421611,169113718957,169120421611,3413.388495,0.708842,0.614566,62196468750.000000,1728761993.000000,0.027795,14223663493.000000,67122.500000,35559238479.000000,9431.500000,0.000000,14233874969.000000,175310.000000,0.000012,705605.000000,642105.000000,0.910006,447203.000000,255091.000000,0.570414,1927.000000,0.000000,27522.000000,6254474483.500000,3511972.500000,0.000562,200137470483.000000,1.183426
