variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_cache_refs,avg_cache_misses,cache_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,3.319000,10,1024,512,289,28069.221327,28061.338466,28021.537320,28166.797789,67906735153,67887664466,67791375158,68142797951,129521.818453,0.018678,0.016194,42325770.400000,11922119.200000,0.281675,22996784799.900002,1237317.500000,0.000054,188142415041.000000,2.770600
gen_128x128_1,generated 128*128,3.319000,10,128,128,289,850.631605,850.424021,848.312197,853.572555,2057917569,2057415365,2052306268,2065032556,125605.320374,0.019261,0.016699,300077.100000,111523.200000,0.371648,707775654.900000,31013.100000,0.000044,5789124350.900000,2.813098
gen_256x256_1,generated 256*256,3.319000,10,256,256,289,3477.280579,3474.383626,3467.606267,3505.974519,8412538336,8405529778,8389133404,8481957201,128365.147949,0.018847,0.016340,1699866.400000,549829.600000,0.323455,2857811270.900000,166167.500000,0.000058,23378412593.900002,2.778996
gen_512x512_1,generated 512*512,3.319000,10,512,512,289,13893.891714,13894.767492,13868.156896,13928.791231,33613380168,33615498932,33551120132,33697812290,128224.869415,0.018868,0.016358,5875883.100000,1990737.500000,0.338798,11484873747.700001,464486.700000,0.000040,93959250942.699997,2.795293
