variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_case1_256x256_stack1_bench2,generated 256*256,1,"-26.319",2,256,256,289,310.356278,310.652113,310.060444,310.652113,750836820,751552525,750121115,751552525,11456.860657,0.211164,0.183079,181442593.500000,2080726.000000,0.011468,51075635.500000,364.500000,111609587.500000,64.000000,0.000001,51081907.500000,0.000000,0.000000,2349.000000,615.500000,0.262026,16.500000,0.000000,0.000000,5.000000,0.000000,136.000000,23352569.500000,26830.000000,0.001149,595359918.000000,0.792929
gen_case2_384x384_stack1_bench2,generated 384*384,1,"-46.9186",2,384,384,289,700.477672,707.303023,693.652321,707.303023,1694659011,1711171518,1678146504,1711171518,11492.641947,0.210508,0.182510,414451739.000000,4765551.000000,0.011498,111984277.000000,725.500000,244271949.000000,98.500000,0.000000,111646573.000000,0.000000,0.000000,3018.000000,1339.500000,0.443837,37.500000,0.000000,0.000000,2.000000,0.000000,306.000000,53264232.500000,40585.000000,0.000762,1324010748.500000,0.781284
gen_case3_512x512_stack1_bench2,generated 512*512,1,"28.8773",2,512,512,289,1280.117009,1280.768072,1279.465946,1280.768072,3096980866,3098555980,3095405753,3098555980,11814.044441,0.204781,0.177545,773370315.000000,8710694.500000,0.011263,202044394.000000,1393.000000,445011582.000000,80.500000,0.000000,205508037.500000,0.000000,0.000000,4660.000000,2125.000000,0.456009,41.000000,1.500000,0.036585,16.500000,0.000000,288.500000,97893429.000000,55429.000000,0.000566,2442116791.500000,0.788548
gen_case4_768x768_stack1_bench2,generated 768*768,1,"-15.3911",2,768,768,289,2921.369257,2923.609206,2919.129308,2923.609206,7067639547,7073058634,7062220460,7073058634,11982.624557,0.201900,0.175047,1766287204.000000,19723764.000000,0.011167,468182351.500000,2697.500000,1014263325.000000,107.000000,0.000000,462768186.500000,229.000000,0.000000,14343.500000,5879.500000,0.409907,413.000000,237.000000,0.573850,4.500000,0.000000,713.000000,222721075.500000,82882.000000,0.000372,5518268020.000000,0.780779
gen_case5_1024x1024_stack1_bench2,generated 1024*1024,1,"12.3281",2,1024,1024,289,5220.841429,5230.800330,5210.882528,5230.800330,12630699822,12654793236,12606606409,12654793236,12045.574018,0.200844,0.174132,3164139000.500000,35346462.000000,0.011171,829869337.500000,4512.500000,1810306086.500000,137.500000,0.000000,826448240.500000,368.000000,0.000000,23183.500000,13601.000000,0.586667,108.500000,10.500000,0.096774,37.000000,0.000000,643.000000,397515098.500000,111080.500000,0.000279,9881851606.000000,0.782368
gen_case6_1536x1536_stack1_bench2,generated 1536*1536,1,"11.5816",2,1536,1536,289,11812.492526,11816.426203,11808.558849,11816.426203,28577916792,28587433522,28568400062,28587433522,12112.900116,0.199729,0.173165,7137793665.500000,82482788.500000,0.011556,1871437253.500000,10582.000000,4084423282.500000,163.500000,0.000000,1867449668.500000,269.500000,0.000000,40751.500000,25885.000000,0.635191,1425.000000,719.000000,0.504561,209.500000,0.000000,552.500000,898191321.500000,166755.500000,0.000186,22318780620.000000,0.780980
gen_case7_2048x2048_stack1_bench2,generated 2048*2048,1,"-35.1445",2,2048,2048,289,20875.452118,20903.561126,20847.343109,20903.561126,50503900187,50571904202,50435896172,50571904202,12041.068122,0.200920,0.174198,12645409421.000000,147978746.000000,0.011702,3310109464.500000,17265.500000,7230520538.500000,174.500000,0.000000,3311312116.500000,263.500000,0.000000,58546.000000,40340.500000,0.689039,1930.000000,1066.000000,0.552332,466.000000,0.000000,1052.000000,1597804165.000000,222185.000000,0.000139,39555730266.000000,0.783221
gen_case8_3072x3072_stack1_bench2,generated 3072*3072,1,"-31.6909",2,3072,3072,289,75304.869452,76361.993716,74247.745189,76361.993716,182190074373,184747645345,179632503401,184747645345,19305.554959,0.125320,0.108652,28565785484.000000,376869038.500000,0.013193,7411835776.500000,1105612.500000,16348548868.500000,2784870.000000,0.000170,7530065822.000000,39939.000000,0.000005,1162132.000000,1096760.000000,0.943748,2726.000000,149.000000,0.054659,167111.500000,203523.500000,1420796.000000,3614619114.000000,575529.500000,0.000159,89708754588.000000,0.492391
gen_case9_4096x4096_stack1_bench2,generated 4096*4096,1,"-38.5587",2,4096,4096,289,159280.782620,160020.365514,158541.199726,160020.365514,385388628805,387178090362,383599167248,387178090362,22970.952320,0.105331,0.091322,50733135727.000000,672229545.500000,0.013250,13275775490.000000,1813216.000000,29126749014.500000,4822790.000000,0.000166,13195119982.000000,39479.500000,0.000003,2244993.500000,2128411.500000,0.948070,2750.000000,252.500000,0.091818,497800.000000,445219.000000,3112622.500000,6397407754.500000,628170.500000,0.000098,159006101997.000000,0.412586
