variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,3340.069692,3340.443545,3337.323747,3343.462206,8080463442,8081367887,8073820314,8088670782,15412.260899,0.156969,0.136092,5281007953.900001,40312682.700000,0.007634,30682.400000,11974.200000,0.390263,1815150953.800000,173732.200000,0.000096,22342325787.800003,2.764981
gen_10x10_1,generated 10*10,6.700000,10,10,10,289,0.423612,0.423199,0.422634,0.427145,1024831,1023834,1022466,1033379,10248.310000,0.236065,0.204669,657314.100000,1678.300000,0.002553,1.600000,0.100000,0.062500,254862.100000,703.800000,0.002761,2826749.100000,2.758259
gen_13x13_1,generated 13*13,6.700000,10,13,13,289,0.807727,0.811385,0.789889,0.826532,1954106,1962956,1910953,1999602,11562.757396,0.209229,0.181402,1236130.200000,2605.100000,0.002107,1.900000,0.000000,0.000000,463552.200000,818.100000,0.001765,5291485.200000,2.707880
gen_16x16_1,generated 16*16,6.700000,10,16,16,289,1.285471,1.287460,1.275546,1.291772,3109896,3114708,3085886,3125139,12148.031250,0.199149,0.172662,1997276.300000,3747.900000,0.001877,2.100000,0.100000,0.047619,734797.300000,1171.300000,0.001594,8527248.300000,2.741972
gen_19x19_1,generated 19*19,6.700000,10,19,19,289,1.986398,1.889212,1.872117,2.579420,4805633,4570514,4529157,6240314,13312.002770,0.181736,0.157565,2940770.300000,5226.000000,0.001777,21.000000,0.300000,0.014286,1068675.500000,1318.300000,0.001234,12534477.500000,2.608289
gen_22x22_1,generated 22*22,6.700000,10,22,22,289,2.594928,2.592254,2.586325,2.619014,6277821,6271353,6257009,6336093,12970.704545,0.186518,0.161711,4066485.000000,6809.200000,0.001674,21.300000,3.300000,0.154930,1465060.400000,1369.600000,0.000935,17312511.200000,2.757726
gen_25x25_1,generated 25*25,6.700000,10,25,25,289,3.413403,3.414200,3.402049,3.423732,8257941,8259869,8230472,8282929,13212.705600,0.183102,0.158749,5374570.700000,8768.900000,0.001632,6.400000,0.200000,0.031250,1924065.700000,1635.000000,0.000850,22861934.700000,2.768479
gen_28x28_1,generated 28*28,6.700000,10,28,28,289,4.394102,4.395181,4.381063,4.406867,10630542,10633152,10598996,10661425,13559.364796,0.178421,0.154691,6864921.200000,10884.500000,0.001586,16.100000,3.000000,0.186335,2445581.200000,4015.000000,0.001642,29182160.200000,2.745124
gen_31x31_1,generated 31*31,6.700000,10,31,31,289,5.440521,5.441821,5.410316,5.480995,13162068,13165216,13088996,13259986,13696.220604,0.176638,0.153145,8537631.700000,13374.600000,0.001567,37.600000,2.500000,0.066489,3029702.700000,3540.500000,0.001169,36273761.700000,2.755932
gen_34x34_1,generated 34*34,6.700000,10,34,34,289,6.580573,6.584901,6.558916,6.604327,15919529,15930001,15867140,15976995,13771.218858,0.175669,0.152305,10392570.700000,16059.500000,0.001545,75.000000,1.400000,0.018667,3676340.700000,1525.300000,0.000415,44136143.700000,2.772453
gen_37x37_1,generated 37*37,6.700000,10,37,37,289,7.859402,7.858030,7.834925,7.899663,19014121,19010803,18954905,19111524,13889.058437,0.174186,0.151020,12429793.700000,19257.800000,0.001549,102.700000,7.100000,0.069133,4385556.700000,1518.900000,0.000346,52769709.700000,2.775291
gen_40x40_1,generated 40*40,6.700000,10,40,40,289,9.299529,9.274352,9.251604,9.463535,22498081,22437172,22382138,22894855,14061.300625,0.172052,0.149169,14649406.200000,23035.100000,0.001572,205.100000,11.800000,0.057533,5157373.200000,3327.900000,0.000645,62174616.200000,2.763552
gen_43x43_1,generated 43*43,6.700000,10,43,43,289,10.785218,10.787198,10.747687,10.855738,26092357,26097146,26001559,26262963,14111.604651,0.171438,0.148637,17051267.000000,26738.800000,0.001568,117.100000,9.700000,0.082835,5991736.000000,3527.400000,0.000589,72350495.000000,2.772862
gen_46x46_1,generated 46*46,6.700000,10,46,46,289,12.402321,12.399862,12.375266,12.443386,30004518,29998570,29939065,30103867,14179.828922,0.170613,0.147922,19635439.700000,31915.300000,0.001625,141.700000,25.000000,0.176429,6888669.700000,3065.900000,0.000445,83297518.700000,2.776166
gen_49x49_1,generated 49*49,6.700000,10,49,49,289,14.196657,14.148525,14.132031,14.635011,34345556,34229113,34189210,35406053,14304.688047,0.169124,0.146631,22401925.900000,38691.400000,0.001727,141.200000,11.200000,0.079320,7848175.900000,3142.000000,0.000400,95015688.900000,2.766462
gen_52x52_1,generated 52*52,6.700000,10,52,52,289,16.216621,16.211195,16.167364,16.304746,39232424,39219296,39113257,39445623,14509.032544,0.166743,0.144566,25350708.300000,49458.500000,0.001951,117.400000,18.900000,0.160988,8870247.300000,21970.300000,0.002477,107504954.300000,2.740207
