variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,5,1024,512,289,949.002393,949.068055,948.516638,949.698950,2295891358,2296050211,2294716185,2297576517,4379.065243,0.552462,0.478985,669111256.600000,22013811.600000,0.032900,114865542.200000,1342.600000,382186916.600000,7511.600000,0.000020,113823080.400000,105.600000,0.000001,84893.600000,25137.600000,0.296107,8325.800000,4230.600000,0.508131,40.200000,0.000000,0.000000,72171188.000000,22309.600000,0.000309,2948447840.400000,1.284228
gen_10x10_1,generated 10*10,6.700000,5,10,10,289,0.126667,0.126450,0.126360,0.127480,306444,305919,305702,308413,3064.440000,0.789472,0.684472,208397.000000,1734.000000,0.008321,120.000000,36.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,7.000000,0.097222,378.000000,0.001234
gen_13x13_1,generated 13*13,6.700000,5,13,13,289,0.229441,0.229161,0.229009,0.230708,555083,554406,554038,558150,3284.514793,0.736573,0.638609,379732.000000,2638.200000,0.006948,120.000000,45.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.200000,1.600000,0.380952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,7.000000,0.097222,378.000000,0.000681
gen_16x16_1,generated 16*16,6.700000,5,16,16,289,0.363921,0.363616,0.363562,0.365097,880436,879697,879566,883280,3439.203125,0.703448,0.609890,603599.000000,3824.000000,0.006335,120.000000,30.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,7.200000,0.100000,378.000000,0.000429
gen_19x19_1,generated 19*19,6.700000,5,19,19,289,0.531419,0.530366,0.529717,0.533384,1285656,1283107,1281538,1290409,3561.373961,0.679313,0.588964,528030.400000,5264.200000,0.009970,101997.200000,40.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.800000,7.600000,0.098958,399.600000,0.000311
gen_22x22_1,generated 22*22,6.700000,5,22,22,289,0.734733,0.736382,0.728299,0.741193,1777536,1781526,1761972,1793165,3672.595041,0.658743,0.571130,1042206.000000,7028.800000,0.006744,48578.000000,36.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.400000,5.800000,0.211679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,7.400000,0.102778,378.000000,0.000213
gen_25x25_1,generated 25*25,6.700000,5,25,25,289,0.962814,0.956867,0.955914,0.973474,2329333,2314945,2312639,2355123,3726.932800,0.649139,0.562803,1010515.400000,8841.600000,0.008750,169455.200000,29.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.400000,0.200000,0.013889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.400000,7.200000,0.096774,388.800000,0.000167
gen_28x28_1,generated 28*28,6.700000,5,28,28,289,1.220293,1.217148,1.215840,1.227264,2952244,2944637,2941472,2969109,3765.617347,0.642469,0.557020,527231.600000,9703.200000,0.018404,438652.400000,61.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79.200000,7.800000,0.098485,410.400000,0.000139
gen_31x31_1,generated 31*31,6.700000,5,31,31,289,1.514317,1.510443,1.509616,1.522467,3663575,3654205,3652203,3683295,3812.252862,0.634610,0.550207,688921.000000,10511.000000,0.015257,535058.000000,66.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.200000,1.600000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.600000,8.600000,0.105392,421.200000,0.000115
gen_34x34_1,generated 34*34,6.700000,5,34,34,289,1.843408,1.837255,1.831678,1.870820,4459753,4444868,4431376,4526070,3857.917820,0.627099,0.543695,262441.400000,8197.400000,0.031235,820060.400000,98.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.800000,0.600000,0.014354,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,86.400000,8.400000,0.097222,442.800000,0.000099
gen_37x37_1,generated 37*37,6.700000,5,37,37,289,2.206307,2.207683,2.190382,2.219932,5337719,5341049,5299194,5370685,3898.991234,0.620494,0.537968,1070190.600000,12552.400000,0.011729,757555.400000,68.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,104.000000,5.000000,0.048077,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,81.600000,8.200000,0.100490,421.200000,0.000079
gen_40x40_1,generated 40*40,6.700000,5,40,40,289,2.620461,2.595902,2.576206,2.691241,6339687,6280271,6232619,6510924,3962.304375,0.610580,0.529372,410610.000000,9103.000000,0.022169,1143213.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.000000,32.600000,0.397561,1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,88.800000,9.400000,0.105856,453.600000,0.000072
gen_43x43_1,generated 43*43,6.700000,5,43,43,289,3.015680,3.016638,3.003169,3.034687,7295832,7298152,7265566,7341817,3945.825852,0.613129,0.531583,103393.800000,7567.800000,0.073194,1441110.400000,124.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.400000,4.600000,0.097046,33.800000,0.000000,0.000000,0.000000,0.000000,0.000000,88.800000,8.800000,0.099099,453.600000,0.000062
gen_46x46_1,generated 46*46,6.700000,5,46,46,289,3.473133,3.470804,3.461763,3.488856,8402553,8396921,8375047,8440594,3970.960775,0.609248,0.528218,375796.000000,8946.200000,0.023806,1527544.400000,137.200000,189827.200000,0.000000,0.000000,0.000000,0.000000,0.000000,43.600000,2.400000,0.055046,20.400000,0.000000,0.000000,0.000000,0.000000,0.000000,88.800000,8.600000,0.096847,453.600000,0.000054
gen_49x49_1,generated 49*49,6.700000,5,49,49,289,3.952440,3.949956,3.938231,3.965263,9562120,9556111,9527744,9593142,3982.557268,0.607473,0.526679,799557.400000,11374.400000,0.014226,1529794.200000,147.800000,563536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.200000,4.200000,0.083665,24.800000,0.000000,0.000000,0.000000,0.000000,0.000000,88.800000,8.600000,0.096847,453.600000,0.000047
gen_52x52_1,generated 52*52,6.700000,5,52,52,289,4.483332,4.488547,4.454950,4.507128,10846551,10859170,10777887,10904123,4011.298447,0.603123,0.522908,1190213.800000,15017.200000,0.012617,1525199.000000,128.800000,1045323.600000,0.000000,0.000000,0.000000,0.000000,0.000000,108.800000,8.000000,0.073529,60.400000,0.000000,0.000000,0.000000,0.000000,0.000000,88.800000,9.400000,0.105856,453.600000,0.000042
gen_55x55_1,generated 55*55,6.700000,5,55,55,289,5.027930,5.007262,4.978188,5.104015,12164070,12114067,12043727,12348141,4021.180165,0.601639,0.521621,763713.800000,27244.400000,0.035674,1546527.000000,137.400000,2310856.600000,0.000000,0.000000,0.000000,0.000000,0.000000,31.600000,2.400000,0.075949,5.600000,0.000000,0.000000,0.000000,0.000000,0.000000,91.200000,10.200000,0.111842,464.400000,0.000038
gen_58x58_1,generated 58*58,6.700000,5,58,58,289,5.585909,5.575244,5.564950,5.644893,13513991,13488190,13463285,13656691,4017.238704,0.602230,0.522133,525833.000000,45106.400000,0.085781,1540491.000000,112.800000,3530393.800000,0.000000,0.000000,266843.200000,0.000000,0.000000,16.600000,3.600000,0.216867,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96.000000,9.400000,0.097917,486.000000,0.000036
gen_61x61_1,generated 61*61,6.700000,5,61,61,289,6.188890,6.186139,6.182184,6.197471,14972801,14966147,14956578,14993561,4023.864821,0.601239,0.521274,414902.400000,47922.200000,0.115502,1555201.400000,121.600000,4607694.600000,0.000000,0.000000,600922.800000,0.000000,0.000000,15.600000,15.800000,1.012821,6.200000,1.800000,0.290323,0.000000,0.000000,0.000000,98.400000,11.400000,0.115854,496.800000,0.000033
gen_64x64_1,generated 64*64,6.700000,5,64,64,289,6.832301,6.830944,6.820079,6.850820,16529374,16526091,16499806,16574176,4035.491699,0.599505,0.519771,168033.400000,41551.200000,0.247279,1557548.800000,107.000000,5244281.400000,0.000000,0.000000,975481.800000,0.000000,0.000000,14.600000,6.800000,0.465753,3.200000,1.000000,0.312500,0.600000,0.000000,0.000000,86220.400000,123.800000,0.001436,4113387.800000,0.248853
gen_67x67_1,generated 67*67,6.700000,5,67,67,289,7.566035,7.552158,7.515290,7.614992,18304561,18270990,18181794,18423004,4077.647806,0.593309,0.514399,1101987.000000,65730.400000,0.059647,1151162.200000,185.600000,5197818.200000,0.000000,0.000000,1049274.400000,0.000000,0.000000,68.600000,28.800000,0.419825,4.800000,2.200000,0.458333,0.400000,0.000000,0.000000,116469.000000,100.200000,0.000860,5859568.800000,0.320115
gen_70x70_1,generated 70*70,6.700000,5,70,70,289,8.343139,8.323878,8.233187,8.460810,20184628,20138031,19918622,20469311,4119.311837,0.587309,0.509197,1995965.200000,52253.400000,0.026180,1543464.800000,122.800000,6427661.600000,0.600000,0.000000,1581295.200000,0.000000,0.000000,135.400000,67.000000,0.494830,3.400000,0.400000,0.117647,1.800000,0.000000,0.000000,296092.800000,4056.000000,0.013698,16800692.600000,0.832351
gen_73x73_1,generated 73*73,6.700000,5,73,73,289,9.045419,9.015232,9.010200,9.137595,21883609,21810578,21798404,22106612,4106.513229,0.589138,0.510783,3174366.400000,78758.800000,0.024811,1530818.200000,108.400000,5240096.400000,0.000000,0.000000,1544936.000000,0.000000,0.000000,194.200000,176.400000,0.908342,2.800000,2.400000,0.857143,1.400000,0.000000,0.000000,406811.200000,1057.800000,0.002600,21954743.200000,1.003251
gen_76x76_1,generated 76*76,6.700000,5,76,76,289,9.773082,9.773561,9.759859,9.784732,23644083,23645241,23612091,23672268,4093.504675,0.591011,0.512407,4326835.800000,106410.400000,0.024593,1562550.800000,116.000000,5206789.800000,0.600000,0.000000,1549064.400000,0.000000,0.000000,251.600000,127.400000,0.506359,2.200000,1.800000,0.818182,0.800000,0.000000,0.000000,516462.200000,780.400000,0.001511,28458346.600000,1.203614
gen_79x79_1,generated 79*79,6.700000,5,79,79,289,10.643118,10.614279,10.601753,10.749750,25748988,25679219,25648915,26006965,4125.779202,0.586388,0.508399,5721099.800000,136273.800000,0.023820,1558964.800000,113.400000,5171775.000000,0.600000,0.000000,1527463.200000,0.000000,0.000000,320.800000,196.400000,0.612219,2.200000,0.400000,0.181818,1.400000,0.000000,0.000000,662911.600000,1912.000000,0.002884,37222461.400000,1.445589
gen_82x82_1,generated 82*82,6.700000,5,82,82,289,11.534775,11.509766,11.482149,11.641167,27906134,27845630,27778815,28163530,4150.228138,0.582933,0.505403,7191786.400000,165035.800000,0.022948,1539430.800000,89.600000,5189422.400000,11.000000,0.000002,1545814.000000,0.000000,0.000000,313.000000,230.400000,0.736102,4.200000,2.200000,0.523810,3.200000,0.000000,0.000000,908969.600000,3247.600000,0.003573,39889097.800000,1.429403
gen_85x85_1,generated 85*85,6.700000,5,85,85,289,12.314769,12.307532,12.263844,12.375258,29793150,29775641,29669948,29939492,4123.619377,0.586694,0.508664,8442511.200000,189935.400000,0.022498,1561196.200000,75.400000,5245861.600000,6.400000,0.000001,1558345.400000,0.000000,0.000000,338.200000,219.000000,0.647546,4.000000,1.400000,0.350000,1.000000,0.000000,0.000000,981664.800000,1462.000000,0.001489,40092187.200000,1.345685
gen_88x88_1,generated 88*88,6.700000,5,88,88,289,13.256781,13.260827,13.167367,13.397858,32072233,32082022,31855913,32413541,4141.559013,0.584154,0.506461,10042854.800000,220668.000000,0.021973,1545096.200000,105.800000,5186408.600000,23.000000,0.000004,1545963.200000,0.800000,0.000001,391.800000,259.000000,0.661052,5.400000,1.600000,0.296296,4.600000,0.000000,0.000000,988541.800000,717.800000,0.000726,40108177.400000,1.250558
