variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,5908.305725,5907.797775,5906.359544,5914.592118,14293823948,14292595077,14289115598,14309032471,27263.305565,0.088737,0.076935,5892943256.100000,521517899.600000,0.088499,341465.600000,146563.000000,0.429217,2731176887.100000,675855.900000,0.000247,36108752986.099998,2.526179
gen_10x10_1,generated 10*10,6.700000,10,10,10,289,0.618226,0.614015,0.612702,0.635231,1495667,1485481,1482303,1536808,14956.670000,0.161753,0.140240,719999.200000,5826.200000,0.008092,11.300000,0.400000,0.035398,370258.200000,436.400000,0.001179,4435749.200000,2.965733
gen_13x13_1,generated 13*13,6.700000,10,13,13,289,1.169178,1.169005,1.161204,1.175661,2828586,2828168,2809296,2844272,16737.195266,0.144546,0.125321,1362209.300000,18302.700000,0.013436,8.800000,3.200000,0.363636,680423.300000,610.300000,0.000897,8378725.300000,2.962160
gen_16x16_1,generated 16*16,6.700000,10,16,16,289,1.928153,1.898810,1.892829,2.190072,4664771,4593783,4579313,5298430,18221.761719,0.132770,0.115111,2207873.600000,53100.100000,0.024050,19.200000,4.500000,0.234375,1084765.600000,776.700000,0.000716,13568274.600000,2.908669
gen_19x19_1,generated 19*19,6.700000,10,19,19,289,2.830965,2.831455,2.826100,2.840986,6848930,6850116,6837161,6873174,18972.105263,0.127518,0.110558,3257046.800000,128816.700000,0.039550,33.400000,6.100000,0.182635,1583333.800000,967.200000,0.000611,20004707.800000,2.920852
gen_22x22_1,generated 22*22,6.700000,10,22,22,289,3.950883,3.951954,3.939486,3.957662,9558355,9560947,9530783,9574755,19748.667355,0.122504,0.106211,4509606.000000,224525.700000,0.049788,30.300000,1.500000,0.049505,2176024.000000,1124.300000,0.000517,27687501.000000,2.896681
gen_25x25_1,generated 25*25,6.700000,10,25,25,289,5.307456,5.274396,5.267972,5.600539,12840298,12760317,12744776,13549353,20544.476800,0.117759,0.102097,5965632.500000,338893.800000,0.056808,29.100000,3.600000,0.123711,2862895.500000,1352.600000,0.000472,36616881.500000,2.851716
gen_28x28_1,generated 28*28,6.700000,10,28,28,289,6.837376,6.814440,6.795318,7.110201,16541658,16486169,16439908,17201703,21099.053571,0.114664,0.099414,7625113.800000,505496.400000,0.066294,44.900000,2.100000,0.046771,3643925.800000,1641.100000,0.000450,46792580.800000,2.828772
gen_31x31_1,generated 31*31,6.700000,10,31,31,289,8.559943,8.555998,8.546675,8.583223,20709086,20699540,20676986,20765406,21549.517170,0.112267,0.097336,9488048.100000,678343.600000,0.071495,66.900000,4.300000,0.064275,4519146.100000,1951.700000,0.000432,58214916.100000,2.811081
gen_34x34_1,generated 34*34,6.700000,10,34,34,289,10.638252,10.567010,10.535076,11.052282,25737082,25564726,25487469,26738743,22263.911765,0.108664,0.094212,11554448.900000,861438.200000,0.074555,130.300000,12.500000,0.095932,5488546.900000,2350.600000,0.000428,70883751.900000,2.754149
gen_37x37_1,generated 37*37,6.700000,10,37,37,289,12.806305,12.772549,12.745850,13.079470,30982401,30900736,30836143,31643272,22631.410519,0.106900,0.092683,13824278.400000,999008.600000,0.072265,213.400000,13.900000,0.065136,6552114.400000,2747.800000,0.000419,84799000.400000,2.737005
gen_40x40_1,generated 40*40,6.700000,10,40,40,289,15.259665,15.263509,15.224608,15.304438,36917666,36926966,36832854,37025986,23073.541250,0.104852,0.090906,16297574.900000,1341712.300000,0.082326,304.500000,23.400000,0.076847,7709862.900000,3157.000000,0.000409,99960865.900000,2.707670
gen_43x43_1,generated 43*43,6.700000,10,43,43,289,17.780963,17.794261,17.741093,17.800837,43017347,43049518,42920890,43065428,23265.195782,0.103988,0.090157,18974338.600000,1612082.700000,0.084961,295.600000,50.900000,0.172192,8961792.600000,3613.100000,0.000403,116369414.600000,2.705174
gen_46x46_1,generated 46*46,6.700000,10,46,46,289,20.560364,20.557503,20.544103,20.585392,49741687,49734765,49702347,49802238,23507.413516,0.102916,0.089229,21854543.100000,1717768.000000,0.078600,318.200000,78.200000,0.245757,10307893.100000,4035.700000,0.000392,134024610.100000,2.694412
gen_49x49_1,generated 49*49,6.700000,10,49,49,289,23.602861,23.606453,23.567261,23.619676,57102435,57111126,57016308,57143115,23782.771762,0.101725,0.088196,24938189.000000,2207756.500000,0.088529,398.000000,118.800000,0.298492,11748165.000000,4562.400000,0.000388,152926387.000000,2.678106
gen_52x52_1,generated 52*52,6.700000,10,52,52,289,26.761165,26.751499,26.714828,26.825727,64743445,64720058,64631340,64899639,23943.581731,0.101042,0.087603,28225301.700000,2543064.100000,0.090099,458.400000,157.900000,0.344459,13282617.700000,5037.200000,0.000379,173074792.700000,2.673240
gen_55x55_1,generated 55*55,6.700000,10,55,55,289,30.268798,30.271900,30.205229,30.332890,73229262,73236767,73075472,73384320,24208.020496,0.099938,0.086646,31715890.700000,2875653.100000,0.090669,387.200000,157.000000,0.405475,14911255.700000,5537.500000,0.000371,194469979.700000,2.655632
gen_58x58_1,generated 58*58,6.700000,10,58,58,289,33.901543,33.902168,33.863906,33.948919,82018009,82019521,81926952,82132625,24381.096611,0.099229,0.086031,35409889.500000,3242407.100000,0.091568,420.800000,151.000000,0.358840,16634051.500000,6066.000000,0.000365,217111650.500000,2.647122
gen_61x61_1,generated 61*61,6.700000,10,61,61,289,37.758745,37.754680,37.707104,37.809024,91349739,91339904,91224804,91471380,24549.782048,0.098547,0.085440,39307377.900000,3603146.100000,0.091666,401.800000,161.100000,0.400946,18451038.900000,6533.500000,0.000354,241000044.900000,2.638213
gen_64x64_1,generated 64*64,6.700000,10,64,64,289,41.713293,41.798021,41.502750,41.951957,100916785,101121768,100407421,101494186,24637.886963,0.098194,0.085134,43408316.500000,3383976.600000,0.077957,843.300000,388.300000,0.460453,20362200.500000,7145.300000,0.000351,266135125.500000,2.637174
gen_67x67_1,generated 67*67,6.700000,10,67,67,289,46.252035,46.357100,46.053545,46.491403,111897828,112152013,111417621,112476934,24927.116953,0.097055,0.084147,47712690.100000,4365605.400000,0.091498,476.500000,198.900000,0.417419,22367529.100000,7570.700000,0.000338,292516743.100000,2.614141
gen_70x70_1,generated 70*70,6.700000,10,70,70,289,51.008209,51.004257,50.974739,51.077389,123404581,123395021,123323607,123571950,25184.608367,0.096063,0.083287,52220527.200000,4986363.900000,0.095487,473.800000,221.000000,0.466442,24467038.200000,8116.700000,0.000332,320144983.200000,2.594271
