variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_16x16_1,generated 16*16,3,"0.45;-12.3;34.1",7,16,16,289,0.619223,0.614134,0.613708,0.634101,1498081,1485767,1484737,1534073,1950.626302,1.240263,1.075308,979889.714286,4141.142857,0.004226,141828.428571,45.428571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.571429,8.571429,0.461538,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,73.714286,7.142857,0.096899,385.714286,0.000257
gen_32x32_1,generated 32*32,3,"0.45;-12.3;34.1",7,32,32,289,3.373334,3.367841,3.349188,3.418734,8161079,8147788,8102662,8270914,2656.601237,0.910672,0.789552,74345.142857,5327.571429,0.071660,1797196.428571,175.714286,2244790.285714,0.000000,0.000000,0.000000,0.000000,0.000000,18.714286,5.428571,0.290076,11.142857,1.285714,0.115385,0.000000,0.000000,0.142857,96.000000,9.428571,0.098214,486.000000,0.000060
