variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_26x26_1,generated 26*26,1.700000,10,26,26,289,4.135094,4.118004,4.101575,4.224295,10003303,9961961,9922216,10219091,14797.785503,0.163479,0.141736,6391727.800000,9636.600000,0.001508,14.300000,1.700000,0.118881,2233163.800000,7334.900000,0.003285,27095846.800000,2.708690
gen_27x27_1,generated 27*27,1.700000,10,27,27,289,4.374102,4.372811,4.359043,4.405339,10581464,10578341,10545035,10657032,14515.039781,0.166663,0.144497,6910611.100000,10325.100000,0.001494,16.000000,0.100000,0.006250,2412771.100000,643.900000,0.000267,29292954.100000,2.768327
gen_28x28_1,generated 28*28,1.700000,10,28,28,289,4.720922,4.713723,4.700749,4.775761,11420449,11403035,11371648,11553111,14566.899235,0.166069,0.143982,7449711.600000,11082.700000,0.001488,17.500000,0.100000,0.005714,2599331.600000,642.800000,0.000247,31575750.600000,2.764843
gen_29x29_1,generated 29*29,1.700000,10,29,29,289,5.060518,5.060097,5.045626,5.073232,12241981,12240963,12205958,12272740,14556.457788,0.166189,0.144085,8009145.200000,11843.800000,0.001479,4.100000,0.300000,0.073171,2792873.200000,640.800000,0.000229,33944424.200000,2.772789
gen_30x30_1,generated 30*30,1.700000,10,30,30,289,5.428468,5.426580,5.413998,5.440034,13132057,13127491,13097054,13160037,14591.174444,0.165793,0.143742,8588757.400000,12692.600000,0.001478,25.400000,5.900000,0.232283,2993338.400000,655.700000,0.000219,36398585.400000,2.771735
gen_31x31_1,generated 31*31,1.700000,10,31,31,289,5.836414,5.804924,5.790601,5.977485,14118967,14042791,14008142,14460235,14691.953174,0.164656,0.142757,9188722.100000,13665.100000,0.001487,35.500000,10.600000,0.298592,3200793.100000,653.200000,0.000204,38938672.100000,2.757898
gen_32x32_1,generated 32*32,1.700000,10,32,32,289,6.194398,6.195609,6.183266,6.207904,14984958,14987889,14958030,15017631,14633.748047,0.165311,0.143324,9808866.200000,14374.600000,0.001465,32.100000,2.100000,0.065421,3415165.200000,643.100000,0.000188,41564220.200000,2.773730
gen_33x33_1,generated 33*33,1.700000,10,33,33,289,6.623948,6.629188,6.591821,6.693333,16024139,16036816,15946421,16191990,14714.544536,0.164403,0.142538,10449247.400000,15369.700000,0.001471,45.000000,2.600000,0.057778,3636470.400000,645.100000,0.000177,44275307.400000,2.763038
gen_34x34_1,generated 34*34,1.700000,10,34,34,289,7.014672,7.016996,6.997410,7.031362,16969340,16974962,16927582,17009715,14679.359862,0.164797,0.142879,11109960.900000,16285.300000,0.001466,54.200000,6.900000,0.127306,3864770.900000,652.100000,0.000169,47072373.900000,2.773966
gen_35x35_1,generated 35*35,1.700000,10,35,35,289,7.460612,7.447115,7.427679,7.564755,18048070,18015421,17968403,18300006,14733.118367,0.164196,0.142358,11790853.300000,17331.100000,0.001470,92.300000,2.600000,0.028169,4099994.300000,664.200000,0.000162,49954923.300000,2.767882
gen_36x36_1,generated 36*36,1.700000,10,36,36,289,7.883692,7.882675,7.874832,7.895949,19071576,19069116,19050143,19101228,14715.722222,0.164390,0.142526,12492079.000000,18268.300000,0.001462,99.500000,1.300000,0.013065,4342199.000000,657.800000,0.000151,52923350.000000,2.774986
gen_37x37_1,generated 37*37,1.700000,10,37,37,289,8.344603,8.347321,8.315090,8.367612,20186536,20193112,20115142,20242199,14745.460920,0.164058,0.142238,13213483.400000,19535.600000,0.001478,114.100000,4.300000,0.037686,4591326.400000,655.500000,0.000143,55977259.400000,2.773000
gen_38x38_1,generated 38*38,1.700000,10,38,38,289,8.813662,8.814416,8.801019,8.851331,21321298,21323124,21290715,21412426,14765.441828,0.163837,0.142046,13955230.900000,20864.000000,0.001495,107.200000,8.600000,0.080224,4847439.900000,692.200000,0.000143,59117072.900000,2.772677
gen_39x39_1,generated 39*39,1.700000,10,39,39,289,9.315285,9.310881,9.275498,9.407639,22534749,22524096,22438501,22758165,14815.745562,0.163280,0.141564,14717163.400000,22199.400000,0.001508,110.500000,7.200000,0.065158,5110475.400000,661.000000,0.000129,62342374.400000,2.766500
gen_40x40_1,generated 40*40,1.700000,10,40,40,289,9.794062,9.790969,9.760889,9.860807,23692980,23685497,23612730,23854444,14808.112500,0.163364,0.141637,15499396.100000,23313.200000,0.001504,127.600000,3.600000,0.028213,5380483.100000,670.300000,0.000125,65653486.100000,2.771010
gen_41x41_1,generated 41*41,1.700000,10,41,41,289,10.314675,10.309686,10.261662,10.454410,24952452,24940384,24824208,25290490,14843.814396,0.162972,0.141296,16301828.500000,24633.600000,0.001511,127.200000,4.100000,0.032233,5657419.500000,701.100000,0.000124,69050122.500000,2.767268
gen_42x42_1,generated 42*42,1.700000,10,42,42,289,10.822850,10.819301,10.802254,10.876454,26181745,26173159,26131922,26311420,14842.259070,0.162988,0.141311,17124586.800000,25698.400000,0.001501,134.600000,11.100000,0.082467,5941335.800000,669.400000,0.000113,72532622.800000,2.770351
gen_43x43_1,generated 43*43,1.700000,10,43,43,289,11.378384,11.341860,11.323405,11.547797,27525659,27437305,27392660,27935489,14886.781504,0.162501,0.140888,17967557.400000,27698.200000,0.001542,120.200000,8.300000,0.069052,6232186.400000,658.400000,0.000106,76100685.400000,2.764718
gen_44x44_1,generated 44*44,1.700000,10,44,44,289,11.892388,11.888971,11.867469,11.927453,28769086,28760819,28708803,28853913,14860.065083,0.162793,0.141142,18830800.700000,28712.700000,0.001525,128.000000,10.000000,0.078125,6529995.700000,688.600000,0.000105,79754478.700000,2.772228
gen_45x45_1,generated 45*45,1.700000,10,45,45,289,12.490299,12.507374,12.430548,12.565898,30215506,30256813,30070962,30398388,14921.237531,0.162126,0.140563,19714245.500000,31490.200000,0.001597,127.200000,22.700000,0.178459,6834736.500000,985.800000,0.000144,83493803.500000,2.763277
gen_46x46_1,generated 46*46,1.700000,10,46,46,289,13.019498,13.012208,13.002270,13.053920,31495700,31478064,31454022,31578969,14884.546314,0.162525,0.140910,20618030.900000,32821.700000,0.001592,117.100000,17.600000,0.150299,7146460.900000,1106.000000,0.000155,87319029.900000,2.772411
gen_47x47_1,generated 47*47,1.700000,10,47,47,289,13.640155,13.644807,13.559364,13.729508,32997166,33008422,32801725,33213323,14937.603440,0.161948,0.140409,21541994.700000,35672.500000,0.001656,126.500000,48.200000,0.381028,7465107.700000,1105.900000,0.000148,91229738.700000,2.764775
