variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1.700000,10,1024,512,289,5939.948141,5940.501938,5937.032274,5943.655585,14370210827,14371550598,14363156619,14379180055,27409.001974,0.088265,0.076526,5909984397.600000,515646539.900000,0.087250,608468.600000,201930.500000,0.331867,2737304426.600000,716455.600000,0.000262,36212176666.599998,2.519947
gen_6x6_1,generated 6*6,1.700000,10,6,6,289,0.246354,0.245496,0.244603,0.256043,595997,593923,591761,619438,16555.472222,0.146131,0.126696,290793.100000,4213.200000,0.014489,0.300000,0.000000,0.000000,145339.100000,96.400000,0.000663,1788568.100000,3.000968
gen_7x7_1,generated 7*7,1.700000,10,7,7,289,0.354214,0.353066,0.351688,0.366081,856938,854163,850829,885648,17488.530612,0.138335,0.119936,416653.100000,2906.900000,0.006977,0.200000,0.100000,0.500000,205588.100000,123.900000,0.000603,2560967.100000,2.988509
gen_8x8_1,generated 8*8,1.700000,10,8,8,289,0.479980,0.478232,0.476709,0.493434,1161202,1156973,1153287,1193750,18143.781250,0.133339,0.115605,565119.300000,4478.900000,0.007926,0.100000,0.000000,0.000000,276300.300000,160.900000,0.000582,3471826.300000,2.989856
gen_9x9_1,generated 9*9,1.700000,10,9,9,289,0.624283,0.621977,0.620187,0.637710,1510312,1504735,1500403,1542797,18645.827160,0.129749,0.112492,736191.200000,27695.000000,0.037619,1.500000,0.100000,0.066667,357476.200000,204.700000,0.000573,4521177.200000,2.993539
gen_10x10_1,generated 10*10,1.700000,10,10,10,289,0.791669,0.788835,0.788168,0.801597,1915265,1908410,1906795,1939284,19152.650000,0.126315,0.109515,929869.200000,9566.500000,0.010288,7.800000,6.700000,0.858974,449117.200000,253.400000,0.000564,5709023.200000,2.980801
gen_11x11_1,generated 11*11,1.700000,10,11,11,289,0.978458,0.975330,0.964951,0.994767,2367158,2359590,2334480,2406614,19563.289256,0.123664,0.107217,1146153.300000,21863.400000,0.019075,3.700000,0.100000,0.027027,551221.300000,291.800000,0.000529,7035382.300000,2.972080
gen_12x12_1,generated 12*12,1.700000,10,12,12,289,1.179248,1.176615,1.174111,1.194240,2852918,2846549,2840489,2889188,19811.930556,0.122112,0.105871,1385043.300000,18846.800000,0.013607,3.300000,0.100000,0.030303,663790.300000,338.000000,0.000509,8500270.300000,2.979500
gen_13x13_1,generated 13*13,1.700000,10,13,13,289,1.400145,1.398352,1.391630,1.417650,3387332,3382994,3366732,3429681,20043.384615,0.120702,0.104648,1646539.300000,20862.400000,0.012670,1.200000,0.000000,0.000000,786822.300000,384.800000,0.000489,10103685.300000,2.982786
gen_14x14_1,generated 14*14,1.700000,10,14,14,289,1.644440,1.643995,1.628405,1.662187,3978344,3977270,3939552,4021280,20297.673469,0.119190,0.103337,1930641.600000,27857.900000,0.014429,3.600000,0.000000,0.000000,920319.600000,433.400000,0.000471,11845629.600000,2.977528
gen_15x15_1,generated 15*15,1.700000,10,15,15,289,1.955184,1.904187,1.892244,2.217838,4730121,4606745,4577852,5365551,21022.760000,0.115079,0.099773,2237349.700000,41743.800000,0.018658,14.900000,8.300000,0.557047,1064280.700000,502.200000,0.000472,13726089.700000,2.901847
gen_16x16_1,generated 16*16,1.700000,10,16,16,289,2.194170,2.184980,2.172642,2.303944,5308301,5286068,5256218,5573873,20735.550781,0.116673,0.101155,2566663.500000,56780.200000,0.022122,10.900000,0.500000,0.045872,1218704.500000,536.600000,0.000440,15745052.500000,2.966119
gen_17x17_1,generated 17*17,1.700000,10,17,17,289,2.493690,2.486285,2.470268,2.546952,6032910,6014995,5976247,6161766,20875.121107,0.115893,0.100479,2918584.000000,65560.800000,0.022463,6.300000,0.100000,0.015873,1383594.000000,591.000000,0.000427,17902545.000000,2.967481
gen_18x18_1,generated 18*18,1.700000,10,18,18,289,2.807333,2.811458,2.791769,2.825932,6791709,6801689,6754055,6836704,20962.064815,0.115412,0.100062,3293109.700000,80404.600000,0.024416,5.000000,0.000000,0.000000,1558946.700000,650.000000,0.000417,20198552.700000,2.974001
gen_19x19_1,generated 19*19,1.700000,10,19,19,289,3.164417,3.153960,3.146505,3.238990,7655586,7630288,7612252,7835997,21206.609418,0.114081,0.098908,3690297.100000,110863.000000,0.030042,8.500000,0.100000,0.011765,1744813.100000,691.400000,0.000396,22633328.100000,2.956446
gen_20x20_1,generated 20*20,1.700000,10,20,20,289,3.512066,3.509112,3.495424,3.537887,8496633,8489487,8456372,8559103,21241.582500,0.113893,0.098745,4110034.800000,132215.200000,0.032169,29.700000,18.100000,0.609428,1941093.800000,761.400000,0.000392,25206361.800000,2.966629
gen_21x21_1,generated 21*21,1.700000,10,21,21,289,3.910378,3.897103,3.889312,3.951313,9460274,9428159,9409311,9559307,21451.868481,0.112777,0.097778,4552366.400000,172687.700000,0.037934,9.300000,0.100000,0.010753,2147834.400000,814.400000,0.000379,27917873.400000,2.951064
gen_22x22_1,generated 22*22,1.700000,10,22,22,289,4.295716,4.294534,4.283909,4.314086,10392494,10389635,10363931,10436936,21472.095041,0.112670,0.097685,5017316.000000,204945.500000,0.040848,5.200000,0.000000,0.000000,2365043.000000,874.600000,0.000370,30767915.000000,2.960590
gen_23x23_1,generated 23*23,1.700000,10,23,23,289,4.735218,4.720265,4.705923,4.797185,11455767,11419591,11384894,11605683,21655.514178,0.111716,0.096858,5504885.700000,246363.500000,0.044754,13.200000,0.100000,0.007576,2592721.700000,955.900000,0.000369,33756494.700000,2.946681
gen_24x24_1,generated 24*24,1.700000,10,24,24,289,5.159129,5.160952,5.149175,5.176052,12481345,12485755,12457264,12522286,21669.001736,0.111647,0.096798,6015047.300000,305937.600000,0.050862,6.200000,0.100000,0.016129,2830858.300000,1019.000000,0.000360,36883550.300000,2.955094
gen_25x25_1,generated 25*25,1.700000,10,25,25,289,5.653985,5.645510,5.610712,5.759175,13678556,13658055,13573868,13933041,21885.689600,0.110542,0.095839,6547803.200000,310301.800000,0.047390,37.200000,18.200000,0.489247,3079455.200000,1116.100000,0.000362,40149078.200000,2.935184
gen_26x26_1,generated 26*26,1.700000,10,26,26,289,6.113889,6.112553,6.098782,6.142538,14791162,14787931,14754615,14860473,21880.417160,0.110568,0.095862,7103189.600000,406356.000000,0.057208,8.800000,0.000000,0.000000,3338524.600000,1182.100000,0.000354,43553174.600000,2.944540
gen_27x27_1,generated 27*27,1.700000,10,27,27,289,6.601538,6.606087,6.586071,6.615855,15970973,15981979,15933555,16005611,21908.056241,0.110429,0.095742,7681170.600000,390970.800000,0.050900,12.500000,0.200000,0.016000,3608037.600000,1256.100000,0.000348,47095634.600000,2.948827
gen_28x28_1,generated 28*28,1.700000,10,28,28,289,7.156462,7.149910,7.120181,7.230054,17313447,17297597,17225674,17491487,22083.478316,0.109551,0.094981,8281745.000000,398200.300000,0.048082,15.700000,0.200000,0.012739,3888026.000000,1356.700000,0.000349,50776662.000000,2.932788
gen_29x29_1,generated 29*29,1.700000,10,29,29,289,7.678988,7.678310,7.656657,7.700145,18577581,18575943,18523557,18628766,22089.870392,0.109520,0.094954,8904948.800000,477603.300000,0.053633,48.200000,18.600000,0.385892,4178485.800000,1458.100000,0.000349,54596232.800000,2.938824
gen_30x30_1,generated 30*30,1.700000,10,30,30,289,8.260830,8.269825,8.212741,8.369264,19985237,20006999,19868897,20247570,22205.818889,0.108948,0.094458,9550735.100000,413849.700000,0.043332,33.200000,2.800000,0.084337,4479402.100000,1555.700000,0.000347,58554238.100000,2.929875
gen_31x31_1,generated 31*31,1.700000,10,31,31,289,8.820836,8.816512,8.800536,8.862091,21340043,21329581,21290931,21439849,22206.080125,0.108947,0.094457,10219138.800000,534260.300000,0.052280,14.700000,0.200000,0.013605,4790785.800000,1659.700000,0.000346,62650778.800000,2.935832
gen_32x32_1,generated 32*32,1.700000,10,32,32,289,9.404163,9.404954,9.381551,9.429688,22751253,22753166,22696549,22813004,22218.020508,0.108888,0.094406,10910160.900000,542292.600000,0.049705,17.300000,0.500000,0.028902,5112636.900000,1770.500000,0.000346,66885848.900000,2.939875
gen_33x33_1,generated 33*33,1.700000,10,33,33,289,10.061202,10.053460,10.041087,10.147107,24340777,24322048,24292115,24548605,22351.494031,0.108238,0.093842,11623763.700000,589033.700000,0.050675,62.300000,19.500000,0.313002,5444944.700000,1908.100000,0.000350,71259375.700000,2.927572
gen_34x34_1,generated 34*34,1.700000,10,34,34,289,10.743091,10.720086,10.680195,10.841651,25990482,25934826,25838320,26228926,22483.115917,0.107604,0.093293,12359999.900000,629837.500000,0.050958,103.500000,2.400000,0.023188,5787726.900000,2030.300000,0.000351,75771474.900000,2.915355
