variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,747.673995,747.365517,746.641087,749.481363,1808809368,1808063082,1806310506,1813181840,3450.030075,0.701225,0.607962,663865201.800000,21943398.700000,0.033054,151485155.500000,566.000000,380849558.200000,20829.300000,0.000055,151202350.300000,67.000000,0.000000,87491.000000,86027.400000,0.983271,4189.200000,11401.800000,2.721713,8.900000,0.000000,51.400000,68044391.400000,448691.300000,0.006594,2139127008.900000,1.182616
gen_10x10_1,generated 10*10,6.700000,10,10,10,9,0.003293,0.003238,0.003206,0.003718,7967,7834,7755,8995,79.670000,30.363849,0.819824,6709.000000,33.600000,0.005008,144.000000,30.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.100000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,7.000000,0.097222,385.000000,0.048324
gen_13x13_1,generated 13*13,6.700000,10,13,13,9,0.005921,0.005899,0.005842,0.006240,14324,14272,14134,15096,84.757396,28.542376,0.770644,12394.000000,46.600000,0.003760,144.000000,31.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.500000,0.090278,385.000000,0.026878
gen_16x16_1,generated 16*16,6.700000,10,16,16,9,0.009421,0.009393,0.009346,0.009762,22791,22724,22611,23617,89.027344,27.173697,0.733690,19933.000000,84.800000,0.004254,144.000000,26.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,7.900000,0.109722,385.000000,0.016893
gen_19x19_1,generated 19*19,6.700000,10,19,19,9,0.014092,0.014015,0.013871,0.014793,34092,33907,33557,35788,94.437673,25.617190,0.691664,29369.400000,149.700000,0.005097,144.000000,33.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.300000,0.087500,385.000000,0.011293
gen_22x22_1,generated 22*22,6.700000,10,22,22,9,0.021835,0.020672,0.020372,0.030886,52823,50012,49285,74722,109.138430,22.166692,0.598501,40616.500000,221.700000,0.005458,144.000000,33.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.700000,1.400000,0.823529,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,72.000000,8.700000,0.120833,385.000000,0.007288
gen_25x25_1,generated 25*25,6.700000,10,25,25,9,0.027141,0.026968,0.026680,0.029046,65661,65242,64546,70270,105.057600,23.027902,0.621753,21529.600000,388.100000,0.018026,11919.000000,59.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.300000,0.428571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79.200000,9.100000,0.114899,418.000000,0.006366
gen_28x28_1,generated 28*28,6.700000,10,28,28,9,0.035642,0.034317,0.033957,0.047974,86227,83022,82152,116062,109.983418,21.996473,0.593905,61973.800000,458.900000,0.007405,2603.100000,33.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,8.900000,0.123611,385.000000,0.004465
gen_31x31_1,generated 31*31,6.700000,10,31,31,9,0.042557,0.042521,0.042403,0.042937,102957,102869,102584,103877,107.135276,22.581268,0.609694,85523.000000,594.000000,0.006946,144.000000,42.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.600000,0.091667,385.000000,0.003739
gen_34x34_1,generated 34*34,6.700000,10,34,34,9,0.052002,0.051613,0.051498,0.054652,125805,124866,124588,132219,108.827855,22.230116,0.600213,104186.000000,737.900000,0.007083,144.000000,48.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,8.900000,0.123611,385.000000,0.003060
gen_37x37_1,generated 37*37,6.700000,10,37,37,9,0.062519,0.061541,0.061458,0.067677,151250,148885,148684,163729,110.482104,21.897278,0.591227,124751.000000,901.500000,0.007226,144.000000,34.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.900000,1.700000,0.288136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.600000,0.091667,385.000000,0.002545
