variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_cache_refs,avg_cache_misses,cache_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,824.217678,823.935058,822.054774,828.234800,1993949036,1993265323,1988716535,2003667267,3803.155968,0.636104,0.551502,44083868.700000,8739960.700000,0.198258,249782776.200000,371127.100000,0.001486,8233257920.200001,4.129122
gen_128x128_1,generated 128*128,6.700000,10,128,128,289,52.140949,52.148477,52.021188,52.260554,126141227,126159440,125851498,126430579,7699.049500,0.314225,0.272433,210670.100000,54247.400000,0.257499,26219072.400000,148821.800000,0.005676,381704719.400000,3.026011
gen_256x256_1,generated 256*256,6.700000,10,256,256,289,126.306961,126.280187,126.040998,126.701116,305566846,305502073,304923419,306520403,4662.580048,0.518863,0.449854,5581114.000000,885845.000000,0.158722,47816419.700000,223002.600000,0.004664,1137773165.700000,3.723484
gen_512x512_1,generated 512*512,6.700000,10,512,512,289,423.608004,423.669404,422.751558,424.354219,1024810269,1024958809,1022738319,1026615543,3909.340931,0.618836,0.536531,22577613.000000,4162708.300000,0.184373,134412518.200000,371068.100000,0.002761,4176522627.200000,4.075411
gen_1024x1024_1,generated 1024*1024,6.700000,10,1024,1024,289,1604.582083,1604.632914,1602.991979,1607.907851,3881870096,3881993067,3878023251,3889915929,3702.039810,0.653489,0.566575,79831463.700000,21352145.700000,0.267465,481308023.300000,667718.700000,0.001387,16361157651.300001,4.214762
gen_2048x2048_1,generated 2048*2048,6.700000,10,2048,2048,289,6369.513463,6369.440949,6365.290052,6376.659344,15409410673,15409235246,15399193211,15426698307,3673.889797,0.658497,0.570917,309386749.700000,92557253.600000,0.299164,1869793692.500000,1261814.600000,0.000675,65158067250.500000,4.228459
