variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_cache_refs,avg_cache_misses,cache_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,747.884570,747.949212,745.771325,750.643734,1809273174,1809429556,1804160837,1815948109,3450.914715,0.701028,0.607791,37757277.900000,6471098.000000,0.171387,230694979.000000,296346.600000,0.001285,7044058340.000000,3.893308
gen_16x16_1,generated 16*16,6.700000,10,16,16,289,0.285395,0.284855,0.284340,0.290409,690429,689122,687877,702559,2696.988281,0.897003,0.777702,2.600000,0.800000,0.307692,100920.200000,531.400000,0.005266,2743496.200000,3.973611
gen_32x32_1,generated 32*32,6.700000,10,32,32,289,1.324195,1.325048,1.309296,1.332419,3203507,3205570,3167463,3223403,3128.424805,0.773300,0.670451,993.700000,63.900000,0.064305,427192.500000,9454.000000,0.022131,12336932.500000,3.851071
gen_64x64_1,generated 64*64,6.700000,10,64,64,289,5.642917,5.641339,5.615519,5.677529,13651465,13647647,13585184,13735199,3332.877197,0.725866,0.629326,55622.900000,3555.000000,0.063913,1757664.400000,33534.400000,0.019079,52268656.400000,3.828795
gen_128x128_1,generated 128*128,6.700000,10,128,128,289,23.377049,23.149887,22.958102,24.273433,56554295,56004740,55540770,58722848,3451.800232,0.700858,0.607644,213503.000000,52323.000000,0.245069,7131323.000000,73724.100000,0.010338,215116500.100000,3.803716
gen_256x256_1,generated 256*256,6.700000,10,256,256,289,94.125374,93.993442,92.652996,96.722444,227710376,227391202,224148364,233993271,3474.584595,0.696263,0.603660,1714817.400000,384493.400000,0.224218,28728646.300000,148135.900000,0.005156,872747058.300000,3.832707
gen_512x512_1,generated 512*512,6.700000,10,512,512,289,374.736977,374.829253,374.099016,375.413136,906574259,906797495,905030886,908210042,3458.306347,0.699541,0.606502,20182529.200000,3810609.800000,0.188807,115324730.900000,296438.600000,0.002570,3515751737.900000,3.878063
gen_1024x1024_1,generated 1024*1024,6.700000,10,1024,1024,289,1500.463306,1499.718713,1497.979856,1505.404898,3629961756,3628160418,3623953727,3641916591,3461.801296,0.698835,0.605890,77551656.800000,21698289.600000,0.279791,462220167.600000,593640.300000,0.001284,14113421189.600000,3.888036
gen_2048x2048_1,generated 2048*2048,6.700000,10,2048,2048,289,6066.565202,6067.441155,6062.704543,6071.095329,14678217957,14680337350,14668876989,14689178721,3499.559869,0.691380,0.599427,306496763.300000,94829210.700000,0.309397,1850705590.800000,1187682.500000,0.000642,56554495662.800003,3.852954
