variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1.700000,10,1024,512,289,713.440984,713.017433,711.184161,721.919789,1725962911,1724938252,1720503185,1746474914,3292.012999,0.734872,0.637134,1518609765.000000,40390202.300000,0.026597,12648.300000,9009.300000,0.712293,155468766.900000,148536.300000,0.000955,6837823017.900001,3.961744
gen_6x6_1,generated 6*6,1.700000,10,6,6,289,0.041269,0.040491,0.040378,0.048180,99838,97956,97684,116558,2773.277778,0.872329,0.756310,86513.100000,839.000000,0.009698,0.300000,0.000000,0.000000,10068.100000,18.200000,0.001808,383221.100000,3.838429
gen_7x7_1,generated 7*7,1.700000,10,7,7,289,0.055408,0.055416,0.055158,0.055787,134045,134064,133440,134962,2735.612245,0.884344,0.766726,120495.000000,985.800000,0.008181,0.100000,0.000000,0.000000,13643.000000,18.100000,0.001327,533831.000000,3.982476
gen_8x8_1,generated 8*8,1.700000,10,8,8,289,0.073723,0.073683,0.073593,0.074074,178353,178255,178038,179203,2786.765625,0.868109,0.752651,160283.000000,1199.500000,0.007484,0.400000,0.000000,0.000000,17812.000000,18.000000,0.001011,710586.000000,3.984155
gen_9x9_1,generated 9*9,1.700000,10,9,9,289,0.092309,0.092293,0.092218,0.092601,223316,223278,223097,224024,2756.987654,0.877488,0.760782,205877.000000,1419.300000,0.006894,1.000000,0.000000,0.000000,22575.000000,17.700000,0.000784,913488.000000,4.090562
gen_10x10_1,generated 10*10,1.700000,10,10,10,289,0.115908,0.115673,0.115607,0.117939,280407,279840,279680,285321,2804.070000,0.862754,0.748007,257332.000000,1720.200000,0.006685,1.300000,1.100000,0.846154,27982.000000,23.600000,0.000843,1142789.000000,4.075465
gen_11x11_1,generated 11*11,1.700000,10,11,11,289,0.141199,0.141235,0.141029,0.141439,341592,341680,341181,342174,2823.074380,0.856946,0.742972,314525.000000,2008.000000,0.006384,1.300000,0.000000,0.000000,33928.000000,16.800000,0.000495,1397949.000000,4.092452
gen_12x12_1,generated 12*12,1.700000,10,12,12,289,0.168364,0.168325,0.168245,0.168717,407311,407218,407023,408165,2828.548611,0.855291,0.741537,377537.000000,2299.400000,0.006091,1.400000,0.000000,0.000000,40475.000000,17.500000,0.000432,1679304.000000,4.122904
gen_13x13_1,generated 13*13,1.700000,10,13,13,289,0.196656,0.196631,0.196533,0.197045,475755,475695,475459,476696,2815.118343,0.859369,0.745073,446355.000000,2663.100000,0.005966,0.900000,0.000000,0.000000,47615.000000,19.200000,0.000403,1986796.000000,4.176091
gen_14x14_1,generated 14*14,1.700000,10,14,14,289,0.230341,0.229336,0.229270,0.237662,557285,554855,554695,574999,2843.290816,0.850913,0.737741,521002.100000,3035.000000,0.005825,2.800000,0.000000,0.000000,55341.100000,17.000000,0.000307,2320372.100000,4.163708
gen_15x15_1,generated 15*15,1.700000,10,15,15,289,0.265332,0.264379,0.264242,0.273554,641900,639594,639263,661789,2852.888889,0.847993,0.735210,601423.100000,3392.400000,0.005641,2.700000,0.000000,0.000000,63663.100000,20.300000,0.000319,2680116.100000,4.175286
gen_16x16_1,generated 16*16,1.700000,10,16,16,289,0.305859,0.304359,0.304175,0.312317,739945,736316,735870,755569,2890.410156,0.836986,0.725667,687658.000000,3831.700000,0.005572,9.800000,2.400000,0.244898,72581.000000,406.700000,0.005603,3066024.000000,4.143584
gen_17x17_1,generated 17*17,1.700000,10,17,17,289,0.385946,0.384963,0.384731,0.394880,933693,931313,930754,955306,3230.771626,0.748809,0.649217,779687.100000,4251.800000,0.005453,2.900000,0.000000,0.000000,82091.100000,4916.800000,0.059894,3478058.100000,3.725055
gen_18x18_1,generated 18*18,1.700000,10,18,18,289,0.434916,0.432201,0.432050,0.452012,1052167,1045598,1045233,1093526,3247.429012,0.744971,0.645890,877535.100000,4774.600000,0.005441,2.900000,0.000000,0.000000,92200.100000,5222.200000,0.056640,3916273.100000,3.722102
