variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_16x16_1,generated 16*16,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,16,16,289,1.159082,1.153063,1.144887,1.185276,2804005,2789445,2769666,2867372,1564.734933,1.546051,1.340426,983932.142857,4078.428571,0.004145,575570.142857,80.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.714286,2.285714,0.484848,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,80.571429,8.857143,0.109929,416.571429,0.000149
gen_32x32_1,generated 32*32,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,32,32,289,6.886093,6.848736,6.815868,7.018449,16659561,16569183,16489667,16979770,2324.157506,1.040939,0.902494,3650869.428571,97121.428571,0.026602,1818512.714286,134.000000,4641695.571429,0.000000,0.000000,1809415.714286,0.000000,0.000000,49.857143,9.714286,0.194842,59.571429,16.000000,0.268585,1.428571,0.000000,0.142857,478764.000000,17042.142857,0.035596,20912184.857143,1.255266
gen_64x64_1,generated 64*64,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,64,64,289,32.759071,32.655915,32.617216,33.114251,79254616,79005048,78911423,80113909,2764.181641,0.875238,0.758832,25848005.000000,774371.285714,0.029959,7514015.000000,197.285714,19267500.714286,47.000000,0.000002,7170957.428571,338.428571,0.000047,216.428571,158.857143,0.733993,1.285714,0.142857,0.111111,33.428571,0.000000,82.000000,2690234.714286,39953.285714,0.014851,86958353.714286,1.097202
gen_128x128_1,generated 128*128,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,128,128,289,142.903504,142.887885,142.650064,143.032118,345728031,345690245,345114882,346039189,3014.509199,0.802556,0.695816,128269401.571429,3597925.000000,0.028050,30675553.285714,826.571429,77155246.857143,180.714286,0.000002,30623391.000000,1292.000000,0.000042,3208.285714,457.571429,0.142622,697.571429,144.285714,0.206840,31.571429,0.000000,460.000000,13024148.285714,91974.428571,0.007062,418535660.142857,1.210592
gen_256x256_1,generated 256*256,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,256,256,289,603.108530,602.896598,602.703746,604.178388,1459117918,1458605185,1458138613,1461706256,3180.624647,0.760646,0.659480,551422823.000000,15157129.142857,0.027487,128028654.142857,1246.857143,315695399.000000,819.714286,0.000003,126006687.000000,1079.285714,0.000009,23376.000000,4017.714286,0.171873,1456.142857,679.428571,0.466595,271.714286,0.000000,1936.000000,55634389.142857,190832.285714,0.003430,1778510328.428571,1.218894
gen_512x512_1,generated 512*512,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,512,512,289,2463.717537,2464.299547,2461.936919,2465.013272,5960529151,5961937220,5956221261,5963663953,3248.230608,0.744813,0.645753,2269750025.857143,61288901.285714,0.027002,519639145.000000,3486.000000,1295951126.285714,3318.428571,0.000003,517505923.857143,21608.142857,0.000042,102262.000000,24735.714286,0.241886,1019.571429,1053.714286,1.033487,1090.000000,0.000000,5796.000000,228290947.571429,386016.857143,0.001691,7305294920.857142,1.225612
gen_1024x1024_1,generated 1024*1024,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,1024,1024,289,9989.407776,9987.998387,9986.331779,9995.815925,24167585898,24164176133,24160144073,24183089268,3292.572280,0.734781,0.637056,9206255215.857141,246727782.714286,0.026800,2099645104.714286,12682.000000,5237859912.714286,3440.571429,0.000001,2104026567.714286,25276.142857,0.000012,122970.285714,82253.857143,0.668892,51312.285714,74277.000000,1.447548,2253.857143,0.000000,8972.285714,925559568.714286,778540.000000,0.000841,29638939915.285713,1.226392
gen_2048x2048_1,generated 2048*2048,7,"-49.3;-20.12;0.1;5.34;12.352;33.33;49",7,2048,2048,289,40224.801217,40157.161491,40140.110995,40353.522582,97316379799,97152738140,97111487655,97627797056,3314.576142,0.729901,0.632824,36973840739.142853,1030693004.285714,0.027876,8458096230.571428,35832.428571,21137861562.857143,33011.428571,0.000002,8460664150.857142,862912.285714,0.000102,887524.857143,480423.142857,0.541307,7794.000000,7264.428571,0.932054,11256.857143,0.000000,136101.714286,3717385935.714285,1572535.285714,0.000423,118978272976.428558,1.222592
