variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_256x256_1,generated 256*256,7,"-43.3116;-8.67572;-38.9495;25.2111;1.12851;-45.0326;-45.5193",2,256,256,289,102.430909,102.750748,102.111071,102.750748,247811510,248585298,247037723,248585298,540.186223,4.478648,3.882988,82933931.000000,12359712.000000,0.149031,17727357.000000,2269.500000,51238150.500000,6671.500000,0.000130,12597507.500000,2835.000000,0.000225,75399.500000,53025.500000,0.703261,3396.500000,1894.000000,0.557633,474.500000,0.000000,749.000000,3667471.500000,14272.000000,0.003892,162067740.500000,0.653996
gen_384x384_1,generated 384*384,7,"-43.3116;-8.67572;-38.9495;25.2111;1.12851;-45.0326;-45.5193",2,384,384,289,225.649391,226.057800,225.240982,226.057800,545914578,546902643,544926513,546902643,528.888596,4.574318,3.965933,210738853.500000,31025779.500000,0.147224,31625909.000000,2360.000000,116971710.000000,17829.000000,0.000152,29303392.500000,1168.500000,0.000040,133724.500000,113872.500000,0.851546,6538.500000,7511.000000,1.148734,8.000000,0.000000,578.500000,8667727.000000,64850.000000,0.007482,425668810.500000,0.779735
gen_512x512_1,generated 512*512,7,"-43.3116;-8.67572;-38.9495;25.2111;1.12851;-45.0326;-45.5193",2,512,512,289,417.980475,419.095298,416.865652,419.095298,1011225630,1013922737,1008528524,1013922737,551.074235,4.390176,3.806283,371926054.000000,55546427.000000,0.149348,53987639.500000,4393.500000,214625927.000000,33322.000000,0.000155,51935207.500000,2628.000000,0.000051,200334.000000,186165.000000,0.929273,12829.500000,11112.500000,0.866168,13.000000,0.000000,896.000000,14828917.500000,78031.500000,0.005262,742598339.000000,0.734355
gen_768x768_1,generated 768*768,7,"-43.3116;-8.67572;-38.9495;25.2111;1.12851;-45.0326;-45.5193",2,768,768,289,877.303703,879.546209,875.061198,879.546209,2122465890,2127891197,2117040584,2127891197,514.067608,4.706201,4.080277,823513897.500000,127077463.000000,0.154311,119068109.500000,8090.000000,484229340.000000,79118.000000,0.000163,117921065.000000,1114.500000,0.000009,319353.500000,305868.500000,0.957774,29050.000000,28399.000000,0.977590,39.000000,0.000000,1760.500000,32418870.500000,202273.500000,0.006239,1675779262.500000,0.789544
gen_1024x1024_1,generated 1024*1024,7,"-43.3116;-8.67572;-38.9495;25.2111;1.12851;-45.0326;-45.5193",2,1024,1024,289,1812.853180,1815.187112,1810.519249,1815.187112,4385847466,4391493963,4380200970,4391493963,597.524298,4.048884,3.510382,1474240633.000000,233268822.000000,0.158230,210331066.500000,13501.500000,841493341.000000,115295.500000,0.000137,211630699.000000,5755.000000,0.000027,450703.500000,438927.000000,0.973871,187891.500000,104772.500000,0.557622,52.000000,0.000000,2306.500000,56442629.000000,325763.500000,0.005772,3024850296.000000,0.689684
gen_2048x2048_1,generated 2048*2048,7,"-43.3116;-8.67572;-38.9495;25.2111;1.12851;-45.0326;-45.5193",2,2048,2048,289,5640.605632,5648.850130,5632.361134,5648.850130,13646485859,13666432019,13626539699,13666432019,464.796538,5.205138,4.512854,5946888298.000000,939645223.000000,0.158006,830698872.500000,44695.000000,3367719090.000000,212846.000000,0.000063,842761296.500000,3338.000000,0.000004,2447797.500000,2395010.500000,0.978435,258293.000000,234694.000000,0.908635,464.500000,0.000000,4309.500000,229358182.000000,1434072.000000,0.006253,12099833763.000000,0.886663
gen_1536x1536_1,generated 1536*1536,7,"-43.3116;-8.67572;-38.9495;25.2111;1.12851;-45.0326;-45.5193",2,1536,1536,289,3301.175876,3307.540139,3294.811614,3307.540139,7986501465,8001898462,7971104469,8001898462,483.588656,5.002785,4.337414,3310211698.000000,525661968.000000,0.158800,477764171.000000,27202.500000,1904208914.500000,244244.000000,0.000128,471491624.500000,50111.000000,0.000106,1826631.500000,1743008.500000,0.954220,289038.000000,286943.500000,0.992754,1395.500000,0.000000,4325.000000,122765753.500000,835543.000000,0.006806,6778720923.500000,0.848772
