variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_cache_refs,avg_cache_misses,cache_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,827.454518,827.770261,823.709215,830.759625,2001782781,2002546629,1992722124,2009778516,3818.097651,0.633615,0.549345,45219363.400000,9389686.300000,0.207647,249782856.000000,371185.900000,0.001486,8233258000.000000,4.112963
gen_128x128_1,generated 128*128,6.700000,10,128,128,289,52.140228,52.122986,52.016743,52.365983,126139341,126097628,125840602,126685495,7698.934387,0.314230,0.272437,212806.000000,54603.900000,0.256590,26219074.000000,148777.100000,0.005674,381704721.000000,3.026056
gen_256x256_1,generated 256*256,6.700000,10,256,256,289,126.319865,126.284147,126.058053,126.632015,305596855,305510446,304963474,306352019,4663.037949,0.518810,0.449808,5690604.500000,896254.500000,0.157497,47816419.800000,222830.300000,0.004660,1137773165.800000,3.723118
gen_512x512_1,generated 512*512,6.700000,10,512,512,289,424.139149,423.978862,423.449105,425.870254,1026094108,1025706335,1024424728,1030282066,3914.238388,0.618061,0.535859,22626836.900000,3891818.600000,0.172000,134412523.600000,371044.600000,0.002760,4176522632.600000,4.070311
