variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_40x40_1,generated 40*40,6.700000,5,40,40,289,3.318505,3.297328,3.278185,3.400746,8028343,7977109,7930798,8227305,5017.714375,0.482145,0.418020,671922.000000,7539.200000,0.011220,1994233.400000,157.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,71.000000,21.000000,0.295775,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.800000,11.200000,0.126126,453.600000,0.000056
gen_43x43_1,generated 43*43,6.700000,5,43,43,289,3.825243,3.848914,3.778120,3.860544,9254287,9311554,9140284,9339689,5005.022715,0.483368,0.419080,437727.400000,7236.800000,0.016533,1977601.000000,175.000000,1697157.800000,0.000000,0.000000,0.000000,0.000000,0.000000,50.800000,15.400000,0.303150,41.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.800000,13.400000,0.150901,453.600000,0.000049
gen_46x46_1,generated 46*46,6.700000,5,46,46,289,4.123895,4.121635,4.119903,4.131022,9976778,9971310,9967122,9994021,4714.923440,0.513107,0.444864,704669.400000,9526.800000,0.013520,2070371.800000,152.200000,2508236.800000,0.000000,0.000000,0.000000,0.000000,0.000000,46.600000,1.000000,0.021459,64.600000,0.000000,0.000000,0.000000,0.000000,0.000000,88.800000,10.000000,0.112613,453.600000,0.000045
gen_49x49_1,generated 49*49,6.700000,5,49,49,289,4.890331,4.881416,4.861391,4.943230,11831006,11809439,11760992,11958983,4927.532695,0.490969,0.425670,1953720.000000,13223.400000,0.006768,1965821.200000,182.200000,3433800.400000,0.000000,0.000000,0.000000,0.000000,0.000000,45.400000,3.200000,0.070485,39.800000,0.000000,0.000000,0.000000,0.000000,0.000000,91.200000,12.000000,0.131579,464.400000,0.000039
gen_52x52_1,generated 52*52,6.700000,5,52,52,289,5.262154,5.259225,5.242587,5.279249,12730521,12723435,12683183,12771878,4708.032914,0.513858,0.445515,2174310.000000,22878.600000,0.010522,2039413.400000,126.200000,4650685.600000,0.000000,0.000000,0.000000,0.000000,0.000000,65.600000,11.000000,0.167683,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.200000,12.400000,0.135965,464.400000,0.000036
gen_55x55_1,generated 55*55,6.700000,5,55,55,289,6.090386,6.076111,6.040175,6.186845,14734268,14699735,14612795,14967629,4870.832397,0.496684,0.430625,1188196.800000,35607.600000,0.029968,1967478.600000,169.600000,7923271.000000,0.000000,0.000000,614559.400000,0.000000,0.000000,19.000000,9.600000,0.505263,15.800000,3.800000,0.240506,0.000000,0.000000,0.000000,98.400000,12.800000,0.130081,496.800000,0.000034
gen_58x58_1,generated 58*58,6.700000,5,58,58,289,6.547626,6.554356,6.530015,6.558680,15840445,15856726,15797839,15867188,4708.812426,0.513774,0.445442,22278.600000,30261.600000,1.358326,2015679.000000,160.800000,10219308.000000,0.000000,0.000000,1145663.400000,0.000000,0.000000,15.000000,6.400000,0.426667,7.600000,2.400000,0.315789,0.400000,0.000000,0.000000,111970.200000,127.400000,0.001138,2157215.600000,0.136184
gen_61x61_1,generated 61*61,6.700000,5,61,61,289,7.883938,7.493184,7.444433,9.468825,19073417,18128075,18010133,22907695,5125.884708,0.471972,0.409200,2383723.600000,21980.600000,0.009221,1713377.600000,174.400000,9802945.800000,0.000000,0.000000,1803303.400000,0.000000,0.000000,18.200000,24.400000,1.340659,15.000000,1.600000,0.106667,0.600000,0.000000,0.000000,672340.800000,1487.400000,0.002212,13260600.800000,0.695240
gen_64x64_1,generated 64*64,6.700000,5,64,64,289,7.994462,7.979418,7.965865,8.039298,19340777,19304381,19271592,19449246,4721.869385,0.512355,0.444211,2799672.400000,33283.400000,0.011888,1998420.000000,159.000000,10190529.600000,0.000000,0.000000,1991528.800000,0.000000,0.000000,16.600000,13.400000,0.807229,8.800000,2.000000,0.227273,3.400000,0.000000,0.000000,841444.200000,857.600000,0.001019,16526928.600000,0.854512
gen_67x67_1,generated 67*67,6.700000,5,67,67,289,9.200469,9.220795,9.082818,9.340583,22258401,22307575,21973772,22597376,4958.431945,0.487910,0.423018,6315916.200000,73415.000000,0.011624,1879219.600000,145.000000,9816784.200000,0.000000,0.000000,1895497.800000,0.000000,0.000000,29.800000,9.000000,0.302013,8.200000,2.400000,0.292683,1.000000,0.000000,0.000000,1046874.800000,3859.000000,0.003686,20576610.600000,0.924442
