variant,data_source,num_focuses,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_cache_refs,avg_cache_misses,cache_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,7,5,1024,512,289,22729.742049,22734.617808,22713.972470,22742.572294,54989511719,55001307524,54951360762,55020551619,14983.452857,0.161463,0.139989,123665037.400000,87712117.800000,0.709272,10619821802.000000,1760673.800000,0.000166,134588304210.000000,2.447527
gen_16x16_1,generated 16*16,7,5,16,16,289,5.395809,5.411742,5.352215,5.416356,13050452,13088988,12945015,13100149,7282.618304,0.332110,0.287939,468.800000,51.400000,0.109642,3356705.400000,5376.600000,0.001602,34490197.400000,2.642835
gen_32x32_1,generated 32*32,7,5,32,32,289,30.046213,30.110792,29.423134,30.680145,72670532,72826724,71163536,74203774,10138.188058,0.238566,0.206837,7053.000000,898.800000,0.127435,16301400.600000,11805.000000,0.000724,186692960.600000,2.569033
gen_64x64_1,generated 64*64,7,5,64,64,289,142.813799,142.796323,142.539902,143.239512,345413572,345371305,344751116,346443215,12047.069336,0.200765,0.174063,173497.800000,34923.000000,0.201288,73884001.200000,40512.200000,0.000548,894231721.200000,2.588873
gen_128x128_1,generated 128*128,7,5,128,128,289,627.975742,628.160775,627.227112,628.541817,1518843885,1519291413,1517033225,1520213014,13243.267691,0.182631,0.158341,1422836.800000,309915.200000,0.217815,314881458.600000,106256.400000,0.000337,3911800004.600000,2.575512
gen_256x256_1,generated 256*256,7,5,256,256,289,2662.900915,2658.645170,2656.865225,2681.582558,6440577740,6430284660,6425979627,6485761764,14039.345311,0.172275,0.149363,10431802.000000,3039017.200000,0.291322,1300205729.400000,290910.000000,0.000224,16356899664.800001,2.539663
gen_512x512_1,generated 512*512,7,5,512,512,289,11291.643198,11290.273116,11278.845529,11307.889304,27310095089,27306781393,27279142502,27349388103,14882.820723,0.162510,0.140896,52717471.000000,40311013.800000,0.764661,5284172853.000000,900549.800000,0.000170,66886958596.400002,2.449166
gen_1024x1024_1,generated 1024*1024,7,5,1024,1024,289,45774.819294,45752.471955,45742.591716,45860.155704,110709824328,110655775617,110631879519,110916216818,15083.016576,0.160351,0.139024,246193889.600000,175869374.000000,0.714353,21305385767.200001,3053609.600000,0.000143,270506518710.600006,2.443383
