variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,1,"6.7",10,1024,512,289,745.834647,743.639351,742.085028,761.476683,1804499112,1799187736,1795427150,1842344018,3441.808914,0.702955,0.609462,400771052.100000,17580515.900000,0.043867,78501205.300000,1383.100000,233586868.500000,169.700000,0.000001,78322569.800000,268.200000,0.000003,689461.000000,373126.400000,0.541186,12475.200000,2284.000000,0.183083,8.700000,0.000000,51.400000,71544218.000000,57607.500000,0.000805,1748243177.400000,0.968825
gen_32x32_1,generated 32*32,1,"6.7",10,32,32,289,1.346195,1.341572,1.332648,1.362848,3257060,3245876,3224285,3297351,3180.722656,0.760662,0.659494,612082.200000,4332.500000,0.007078,191622.500000,62.700000,533072.100000,0.000000,0.000000,176366.700000,0.000000,0.000000,30.700000,23.900000,0.778502,81.700000,71.100000,0.870257,1.700000,0.000000,0.000000,112492.600000,2388.900000,0.021236,3109378.300000,0.954658
gen_64x64_1,generated 64*64,1,"6.7",10,64,64,289,5.510685,5.516580,5.439028,5.601604,13332896,13347159,13159525,13552871,3255.101562,0.743283,0.644427,2567745.400000,135753.800000,0.052869,973471.900000,136.800000,1407914.100000,0.200000,0.000000,480046.200000,0.000000,0.000000,86.800000,15.400000,0.177419,215.800000,168.300000,0.779889,6.400000,0.000000,0.000000,427274.900000,4791.600000,0.011214,10134709.400000,0.760128
gen_128x128_1,generated 128*128,1,"6.7",10,128,128,289,22.402577,22.409384,22.269135,22.697061,54202240,54218712,53879383,54914736,3308.242188,0.731344,0.634076,12593403.500000,587216.800000,0.046629,2397480.700000,185.400000,6962901.300000,20.600000,0.000003,2340243.800000,70.900000,0.000030,163.800000,64.400000,0.393162,421.200000,778.400000,1.848053,20.400000,0.000000,37.200000,2333904.300000,13530.600000,0.005797,50883795.100000,0.938777
gen_256x256_1,generated 256*256,1,"6.7",10,256,256,289,90.217965,90.203727,89.974605,90.761680,218279694,218245247,217690893,219595196,3330.683807,0.726419,0.629805,48793184.300000,2135316.700000,0.043763,10202024.800000,144.700000,28496207.000000,77.200000,0.000003,10106369.400000,0.300000,0.000000,12514.900000,724.400000,0.057883,5273.200000,2011.100000,0.381381,0.500000,0.000000,27.200000,9020962.000000,27455.100000,0.003043,221252214.500000,1.013618
gen_512x512_1,generated 512*512,1,"6.7",10,512,512,289,366.123021,365.982576,365.678067,367.359566,885825572,885485767,884749015,888817362,3379.156387,0.716000,0.620772,201218216.800000,8790513.700000,0.043686,39250459.400000,362.900000,115665630.700000,85.300000,0.000001,39337441.500000,39.600000,0.000001,196361.500000,12939.700000,0.065897,20975.100000,3193.700000,0.152261,2.000000,0.000000,59.800000,36387167.900000,59123.700000,0.001625,886284731.500000,1.000518
gen_1024x1024_1,generated 1024*1024,1,"6.7",10,1024,1024,289,1491.086061,1492.285709,1484.703446,1500.272456,3607643875,3610546393,3592201304,3629870120,3440.517306,0.703230,0.609700,805683803.700000,35269806.100000,0.043776,157296730.200000,1187.900000,462786047.300000,238.000000,0.000001,157023158.400000,229.900000,0.000001,2288975.500000,1390029.200000,0.607271,37217.800000,23640.500000,0.635193,41.700000,0.000000,128.600000,145095240.000000,114293.600000,0.000788,3546233301.200000,0.982978
gen_2048x2048_1,generated 2048*2048,1,"6.7",10,2048,2048,289,6199.242607,6198.701559,6174.658290,6232.985823,14999149273,14997840202,14939667196,15080791430,3576.075857,0.676583,0.586598,3237643743.900000,141574548.100000,0.043728,627990452.700000,3942.600000,1848255058.000000,911.500000,0.000000,627537956.700000,112111.100000,0.000179,10448967.200000,9673238.500000,0.925760,2349.800000,2039.300000,0.867861,2733.900000,0.000000,12801.400000,582662463.000000,444040.500000,0.000762,14218485733.900002,0.947953
