variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_256x256_1,generated 256*256,1,"6.7",2,256,256,289,86.379956,86.433904,86.326009,86.433904,208994427,209124953,208863902,209124953,3189.001877,0.758695,0.657788,67537648.000000,429009.000000,0.006352,15668449.000000,155.500000,42578490.500000,420.000000,0.000010,15317630.500000,14.500000,0.000001,18048.000000,4704.500000,0.260666,82.000000,2557.500000,31.189024,10.000000,0.000000,139.000000,7970771.500000,27295.000000,0.003424,259260637.000000,1.240515
gen_384x384_1,generated 384*384,1,"6.7",2,384,384,289,193.958169,194.100716,193.815622,194.100716,469280699,469625592,468935807,469625592,3182.513421,0.760246,0.659134,166146569.500000,1260980.000000,0.007590,32403675.500000,835.500000,94960488.000000,1168.000000,0.000012,31561287.500000,28.000000,0.000001,32192.500000,11910.500000,0.369977,113.500000,47.500000,0.418502,0.500000,0.000000,330.500000,18901798.000000,41436.500000,0.002192,565794819.500000,1.205664
gen_512x512_1,generated 512*512,1,"6.7",2,512,512,289,343.592170,343.739222,343.445118,343.739222,831317858,831673649,830962067,831673649,3171.225960,0.762951,0.661479,292639840.500000,7516429.000000,0.025685,58153456.500000,442.000000,169607214.000000,3349.500000,0.000020,57303080.000000,53.500000,0.000001,28884.000000,10041.500000,0.347649,126.500000,8212.000000,64.916996,0.000000,0.000000,599.000000,33654980.000000,55790.500000,0.001658,1032247128.500000,1.241700
gen_768x768_1,generated 768*768,1,"6.7",2,768,768,289,768.338358,768.942316,767.734399,768.942316,1858981061,1860442329,1857519793,1860442329,3151.755542,0.767662,0.665563,672181325.000000,18138791.000000,0.026985,127287042.000000,1617.000000,384870000.500000,8039.000000,0.000021,127993570.500000,123.000000,0.000001,49168.500000,28384.000000,0.577280,302.000000,218.500000,0.723510,1.000000,0.000000,1362.000000,76578739.000000,83915.500000,0.001096,2303178491.500000,1.238947
gen_1024x1024_1,generated 1024*1024,1,"6.7",2,1024,1024,289,1362.466497,1363.134995,1361.797998,1363.134995,3296466336,3298083757,3294848915,3298083757,3143.755280,0.769616,0.667257,1183895886.500000,32053082.500000,0.027074,230162337.000000,1553.000000,685336065.500000,9263.500000,0.000014,229262633.500000,263.500000,0.000001,58158.000000,43446.500000,0.747043,48893.000000,47321.000000,0.967848,79.000000,0.000000,1408.000000,134566495.500000,110960.000000,0.000825,4062214935.000000,1.232294
gen_1536x1536_1,generated 1536*1536,1,"6.7",2,1536,1536,289,3065.356561,3069.528116,3061.185007,3069.528116,7416585495,7426678510,7406492480,7426678510,3143.558712,0.769664,0.667299,2677544203.500000,72032246.000000,0.026902,513781006.500000,2752.500000,1548060076.500000,10038.500000,0.000006,516022866.000000,177.500000,0.000000,72263.000000,61519.000000,0.851321,710.500000,678.500000,0.954961,43.000000,0.000000,1407.000000,305524391.500000,167568.500000,0.000548,9195007794.500000,1.239790
gen_2048x2048_1,generated 2048*2048,1,"6.7",2,2048,2048,289,5429.938052,5433.157624,5426.718480,5433.157624,13137647239,13145436941,13129857537,13145436941,3132.259187,0.772440,0.669706,4780683409.000000,128236455.000000,0.026824,912546792.000000,4735.000000,2749968165.500000,10704.500000,0.000004,914800305.500000,70.500000,0.000000,84229.000000,72923.000000,0.865771,24819.500000,5470.500000,0.220411,34.000000,0.000000,1333.000000,543881392.500000,223834.000000,0.000412,16378087866.500000,1.246653
gen_3072x3072_1,generated 3072*3072,1,"6.7",2,3072,3072,289,27636.753568,29000.884571,26272.622565,29000.884571,66867083359,70167596253,63566570466,70167596253,7085.491112,0.341472,0.296056,10779788458.000000,341437221.500000,0.031674,2045002329.000000,243142.000000,6195977882.000000,2130072.000000,0.000344,2037424482.000000,9864.000000,0.000005,1083229.000000,1004645.000000,0.927454,83955.500000,96036.000000,1.143892,139742.000000,128531.500000,878428.000000,1231706354.000000,368873.500000,0.000299,36714348651.000000,0.549065
gen_4096x4096_1,generated 4096*4096,1,"6.7",2,4096,4096,289,91854.865204,92479.665424,91230.064984,92479.665424,222251477871,223763240716,220739715026,223763240716,13247.220389,0.182649,0.158357,19071056124.000000,605660082.000000,0.031758,3663553886.500000,886459.000000,11024217966.000000,3804734.000000,0.000345,3667958501.000000,320949.000000,0.000088,2026753.500000,1899231.500000,0.937081,83003.500000,2405.000000,0.028975,167679.000000,449166.000000,3150102.000000,2173353067.000000,539353.000000,0.000248,65448548842.000000,0.294480
