variant,data_source,num_focuses,focus_values,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_256x256_1,generated 256*256,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,256,256,289,293.541058,294.986525,292.095591,294.986525,710164969,713661993,706667946,713661993,516.012260,4.688462,4.064896,284829678.500000,38349849.500000,0.134641,44151101.500000,5785.000000,159541792.000000,18592.500000,0.000117,39809304.500000,1799.500000,0.000045,225911.000000,143399.500000,0.634761,8638.500000,3455.000000,0.399954,75.000000,0.000000,746.000000,12513104.000000,48704.500000,0.003892,585418439.000000,0.824341
gen_384x384_1,generated 384*384,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,384,384,289,667.768739,671.612883,663.924595,671.612883,1615536777,1624836937,1606236618,1624836937,521.717141,4.637198,4.020451,634610917.000000,91252577.000000,0.143793,91891884.500000,11425.000000,361973986.000000,50194.500000,0.000139,91881924.500000,870.000000,0.000009,395332.500000,335283.500000,0.848105,41105.500000,98990.000000,2.408194,134.500000,0.000000,1586.000000,25574818.000000,195955.000000,0.007662,1344899512.500000,0.832478
gen_512x512_1,generated 512*512,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,512,512,289,1188.533690,1193.186787,1183.880593,1193.186787,2875435553,2886692854,2864178252,2886692854,522.329340,4.631778,4.015751,1117020326.000000,163907732.500000,0.146737,162744501.000000,11368.500000,635605570.500000,92316.500000,0.000145,161214694.500000,1560.000000,0.000010,582057.000000,547662.000000,0.940908,65105.000000,32117.000000,0.493311,23.500000,0.000000,2432.500000,45629556.000000,245744.500000,0.005386,2295940594.500000,0.798467
gen_768x768_1,generated 768*768,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,768,768,289,2644.208652,2659.773027,2628.644278,2659.773027,6397225855,6434881287,6359570423,6434881287,516.475767,4.684314,4.061300,2492722442.500000,387284462.000000,0.155366,357020108.000000,20892.000000,1452643708.500000,221731.500000,0.000153,354463569.000000,36836.500000,0.000104,968547.000000,921881.500000,0.951819,472486.000000,155069.000000,0.328198,3981.000000,0.000000,9532.000000,95330460.500000,643795.500000,0.006753,5078719180.000000,0.793894
gen_1024x1024_1,generated 1024*1024,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,1024,1024,289,5281.646552,5295.425304,5267.867799,5295.425304,12777948220,12811283315,12744613126,12811283315,580.285764,4.169173,3.614673,4422808856.000000,698993670.500000,0.158043,623701152.000000,33431.000000,2577906210.500000,309419.000000,0.000120,635192854.500000,8560.000000,0.000013,1410190.000000,1297919.000000,0.920386,721756.500000,347377.000000,0.481294,722.000000,0.000000,11688.000000,170280766.500000,1021134.500000,0.005997,9106288025.500000,0.712657
gen_2048x2048_1,generated 2048*2048,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,2048,2048,289,17469.735470,17515.255086,17424.215854,17515.255086,42264947169,42375073860,42154820478,42375073860,479.845174,5.041884,4.371314,17740255606.000000,2826411311.500000,0.159322,2510325077.500000,113096.000000,10155628960.000000,581259.000000,0.000057,2509858637.500000,3738.500000,0.000001,7078115.000000,6925209.000000,0.978397,959865.000000,833259.500000,0.868101,402.000000,0.000000,1433.000000,671747043.000000,4283845.500000,0.006377,36177790292.000000,0.855976
gen_1536x1536_1,generated 1536*1536,21,"-5.48608;-20.5912;40.9429;-1.56937;-41.2954;24.9958;-42.4562;-29.7494;-42.6076;12.8208;34.2533;11.1194;-27.7528;34.501;37.1514;-17.185;-22.6242;17.3761;47.2736;41.2818;37.6725",2,1536,1536,289,10169.164495,10175.760966,10162.568024,10175.760966,24602444619,24618403581,24586485657,24618403581,496.565493,4.872103,4.224113,10044016435.000000,1583142183.500000,0.157620,1415566331.500000,70598.000000,5719469661.500000,692010.500000,0.000121,1422091847.500000,50367.000000,0.000035,5221988.500000,4924770.500000,0.943083,482836.000000,490643.000000,1.016169,293.000000,0.000000,11205.000000,388670265.000000,2614560.000000,0.006727,20519351100.000000,0.834037
