variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,739.276580,739.333253,736.607040,742.377243,1788489660,1788626767,1782031395,1795990919,3411.273308,0.709191,0.614868,663669813.100000,22437681.100000,0.033809,152591155.000000,845.700000,379689434.800000,8794.800000,0.000023,150689104.200000,79.300000,0.000001,117150.100000,32172.600000,0.274627,8367.700000,6462.500000,0.772315,46.900000,0.000000,51.400000,68243593.300000,448572.600000,0.006573,2133375822.300000,1.192837
gen_10x10_1,generated 10*10,6.700000,10,10,10,9,0.003284,0.003229,0.003201,0.003792,7945,7812,7745,9175,79.450000,30.447831,0.822091,6707.000000,33.800000,0.005040,144.000000,37.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.500000,0.090278,385.000000,0.048458
gen_13x13_1,generated 13*13,6.700000,10,13,13,9,0.005903,0.005877,0.005840,0.006152,14280,14218,14129,14883,84.497041,28.629522,0.772997,12389.000000,45.300000,0.003656,144.000000,21.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,8.200000,0.113889,385.000000,0.026961
gen_16x16_1,generated 16*16,6.700000,10,16,16,9,0.009450,0.009420,0.009331,0.009749,22863,22790,22574,23586,89.308594,27.088837,0.731399,19925.000000,74.400000,0.003734,144.000000,28.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,7.700000,0.106944,385.000000,0.016839
gen_19x19_1,generated 19*19,6.700000,10,19,19,9,0.014235,0.014318,0.013848,0.014785,34438,34639,33503,35768,95.396122,25.359480,0.684706,29358.400000,126.000000,0.004292,144.000000,26.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,5.900000,0.081944,385.000000,0.011180
gen_22x22_1,generated 22*22,6.700000,10,22,22,9,0.021891,0.020648,0.020482,0.032892,52960,49953,49551,79575,109.421488,22.109534,0.596957,40602.500000,221.500000,0.005455,144.000000,28.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.300000,1.600000,0.695652,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,72.000000,6.200000,0.086111,385.000000,0.007270
gen_25x25_1,generated 25*25,6.700000,10,25,25,9,0.027064,0.027048,0.026949,0.027247,65475,65437,65197,65918,104.760000,23.093057,0.623513,5415.900000,393.200000,0.072601,17811.900000,60.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,81.600000,8.800000,0.107843,429.000000,0.006552
gen_28x28_1,generated 28*28,6.700000,10,28,28,9,0.034602,0.034264,0.034215,0.036240,83711,82895,82776,87675,106.774235,22.657810,0.611761,34372.300000,462.300000,0.013450,12712.500000,47.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.800000,9.800000,0.127604,407.000000,0.004862
gen_31x31_1,generated 31*31,6.700000,10,31,31,9,0.042826,0.042474,0.042429,0.044629,103606,102757,102646,107969,107.810614,22.439840,0.605876,85500.000000,602.200000,0.007043,144.000000,31.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,7.200000,0.100000,385.000000,0.003716
gen_34x34_1,generated 34*34,6.700000,10,34,34,9,0.051873,0.051464,0.051361,0.054244,125493,124504,124256,131231,108.557958,22.285299,0.601703,104160.000000,735.600000,0.007062,144.000000,31.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.400000,0.088889,385.000000,0.003068
gen_37x37_1,generated 37*37,6.700000,10,37,37,9,0.062005,0.061462,0.061353,0.066318,150005,148692,148430,160442,109.572681,22.079004,0.596133,124722.000000,896.600000,0.007189,144.000000,51.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.300000,1.500000,0.652174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.700000,0.093056,385.000000,0.002567
gen_40x40_1,generated 40*40,6.700000,10,40,40,9,0.072823,0.072353,0.072245,0.075090,176177,175042,174779,181662,110.110625,21.971207,0.593223,147089.000000,1155.400000,0.007855,144.000000,42.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.000000,0.083333,385.000000,0.002185
gen_43x43_1,generated 43*43,6.700000,10,43,43,9,0.084720,0.084485,0.084295,0.087374,204960,204392,203933,211381,110.849108,21.824856,0.589271,54.900000,1382.100000,25.174863,63549.000000,45.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.800000,7.400000,0.089372,434.500000,0.002120
gen_46x46_1,generated 46*46,6.700000,10,46,46,9,0.103553,0.097139,0.096981,0.123164,250523,235006,234624,297967,118.394612,20.433947,0.551717,14708.000000,1781.000000,0.121091,67544.800000,45.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.800000,10.800000,0.130435,434.500000,0.001734
gen_49x49_1,generated 49*49,6.700000,10,49,49,9,0.111276,0.110587,0.110498,0.114827,269205,267540,267324,277797,112.122032,21.577014,0.582579,225308.000000,2010.200000,0.008922,144.000000,45.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.200000,0.153846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.600000,0.091667,385.000000,0.001430
gen_52x52_1,generated 52*52,6.700000,10,52,52,9,0.125242,0.124986,0.124723,0.127749,302993,302374,301738,309058,112.053624,21.590162,0.582934,255092.000000,2276.900000,0.008926,144.000000,54.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.200000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.300000,0.087500,385.000000,0.001271
gen_55x55_1,generated 55*55,6.700000,10,55,55,9,0.143773,0.141838,0.140283,0.158777,347824,343145,339383,384125,114.983140,21.040158,0.568084,286730.000000,4258.000000,0.014850,144.000000,33.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.300000,3.400000,0.159624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,6.400000,0.088889,385.000000,0.001107
