variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,5,1024,512,289,1058.465429,1057.729486,1057.068305,1060.379969,2560687808,2558907382,2557307823,2565319550,4884.124390,0.495328,0.429450,1450517589.200000,17884556.400000,0.012330,152183775.600000,2610.000000,838401218.400000,128.200000,0.000000,152025414.000000,113.400000,0.000001,15475.400000,7893.000000,0.510035,831.000000,30.600000,0.036823,48.200000,0.000000,102.800000,231568501.600000,222112.200000,0.000959,3228682885.800000,1.260865
gen_10x10_1,generated 10*10,6.700000,5,10,10,289,0.264452,0.261710,0.261287,0.275413,639778,633144,632121,666294,6397.780000,0.378140,0.327847,234972.800000,1726.200000,0.007346,243035.800000,35.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.600000,0.200000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.800000,10.200000,0.132812,399.600000,0.000625
gen_13x13_1,generated 13*13,6.700000,5,13,13,289,0.391213,0.387623,0.387069,0.405747,946447,937763,936422,981609,5600.278107,0.431990,0.374535,16695.600000,2655.800000,0.159072,481949.200000,32.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.600000,10.800000,0.132353,421.200000,0.000445
gen_16x16_1,generated 16*16,6.700000,5,16,16,289,0.549982,0.545449,0.545119,0.566452,1330544,1319579,1318781,1370390,5197.437500,0.465470,0.403563,1311066.200000,3822.400000,0.002915,86538.600000,36.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,1.200000,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.000000,9.000000,0.125000,378.000000,0.000284
gen_19x19_1,generated 19*19,6.700000,5,19,19,289,0.753557,0.749500,0.747085,0.765931,1823053,1813237,1807396,1852988,5050.008310,0.479061,0.415346,51201.800000,5271.000000,0.102946,693768.800000,53.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.200000,0.200000,0.010989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.600000,9.200000,0.112745,421.200000,0.000231
gen_22x22_1,generated 22*22,6.700000,5,22,22,289,1.165786,1.127349,1.124547,1.324464,2820350,2727363,2720584,3204237,5827.169421,0.415171,0.359953,1776884.400000,6967.800000,0.003921,341043.200000,52.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.200000,12.800000,0.703297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.800000,10.800000,0.140625,399.600000,0.000142
gen_25x25_1,generated 25*25,6.700000,5,25,25,289,1.452505,1.447166,1.444940,1.464788,3513989,3501075,3495690,3543707,5622.382400,0.430291,0.373063,746032.400000,6318.200000,0.008469,817761.600000,78.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.400000,0.800000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,12.800000,0.152381,432.000000,0.000123
gen_28x28_1,generated 28*28,6.700000,5,28,28,289,1.783764,1.784023,1.772116,1.800533,4315418,4316046,4287239,4355989,5504.359694,0.439520,0.381064,555612.400000,6031.000000,0.010855,1060274.400000,93.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.800000,11.400000,0.337278,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,86.400000,11.400000,0.131944,442.800000,0.000103
gen_31x31_1,generated 31*31,6.700000,5,31,31,289,2.173953,2.173543,2.155623,2.199732,5259355,5258363,5215009,5321721,5472.793965,0.442052,0.383259,1249276.000000,7715.000000,0.006176,1107445.800000,116.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.200000,1.400000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,11.600000,0.138095,432.000000,0.000082
gen_34x34_1,generated 34*34,6.700000,5,34,34,289,2.549098,2.554504,2.536530,2.558613,6166955,6180032,6136548,6189974,5334.736159,0.453494,0.393179,762239.000000,6687.800000,0.008774,1453694.800000,109.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.800000,0.600000,0.012552,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.400000,11.000000,0.127315,442.800000,0.000072
